,nBase,nF,nX,AATS1se,AATS2se,AATS1pe,AATS1are,AATS3are,AATS0i,AATS1i,AATS2i,AATS8i,ATSC0c,ATSC3c,ATSC4c,ATSC3s,ATSC0se,ATSC0pe,ATSC0are,ATSC6are,ATSC0i,ATSC6i,AATSC0c,AATSC2c,AATSC3c,AATSC4c,AATSC3s,AATSC0v,AATSC6se,AATSC6pe,AATSC6are,AATSC1i,AATSC6i,MATS1c,MATS2c,MATS3c,MATS4c,MATS6s,MATS3se,MATS6se,MATS6pe,MATS3are,MATS6are,MATS6i,GATS2c,GATS3c,GATS5c,GATS8c,GATS4d,GATS5s,GATS6s,GATS3v,GATS7v,GATS3se,GATS5se,GATS6se,GATS3pe,GATS5pe,GATS6pe,GATS3are,GATS5are,GATS6are,GATS6i,BCUTc-1h,BCUTc-1l,BCUTi-1h,BCUTi-1l,SM1_Dzv,SM1_Dzare,SM1_Dzp,SM1_Dzi,nBondsD,AXp-5d,AXp-4dv,AXp-5dv,AXp-6dv,AXp-7dv,Mi,NdsCH,NdssC,NaaaC,NsF,NaaS,SdsCH,SaaCH,SaaaC,SaaNH,SssO,SaaS,AETA_alpha,ETA_shape_p,ETA_psi_1,ETA_dPsi_A,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,SMR_VSA1,EState_VSA1,EState_VSA7,VSA_EState1,VSA_EState3,MID_X,AMID_X,nARing,n5ARing,nAHRing,n5AHRing,nFRing,n9FRing,nFHRing,n9FHRing,nFaRing,n9FaRing,nFaHRing,n9FaHRing,GGI8,GGI9,JGI1,JGI2,JGI4,JGI8,JGI9,JGT10
46,1,0,0,7.667236355555549,7.552672708860759,6.3658333333333355,6.234711111111111,5.80651836734694,165.58874591487447,149.89911414599544,157.22819782508725,164.50318740091032,1.0522483392958926,0.3531315868603288,-0.6144385239703496,4.731634527089073,1.948370545454545,3.6232727272727243,3.6765159090909063,-0.3376136363636378,62.91478139266858,4.834776606837218,0.023914734983997557,-0.0014225644069225574,0.0036033835393911103,-0.0064004012913578085,0.04828198497029667,50.32521846345883,-0.0028552169421487486,-0.003132438016528936,-0.0038365185950413384,-0.19500308154479387,0.054940643259513845,-0.3268069213667546,-0.059484849314636365,0.1506762898189045,-0.2676342136193694,0.029154518950437285,0.19430045899807524,-0.06447928796071807,-0.03803944199116836,0.19072443998243227,-0.0459148885401015,0.03842321708679267,1.2027459787372148,0.8399296344399122,1.0187674458942635,0.8304977358690169,1.0137061403508771,0.8854266854017013,1.2134885204081638,0.9769281434807188,1.0378987009846945,0.7785491461204109,0.9716202774227739,1.432276427631182,0.8098994902055562,0.9981000415930339,1.276414153452429,0.7945961558168874,0.9994771966977848,1.3227481304866824,0.9165700733990437,0.5418251533976984,-0.5206429884460033,14.550567080638967,10.99049365980047,-1.356968362788312,0.8427175430432758,-2.636839718884606,0.8488829422512447,3,0.08030342014716074,0.055995938763611475,0.03069794214471871,0.0166201411975777,0.00964190694659156,1.1378426499213246,2,3,0,0,0,4.0075879472159235,5.933795004771841,0.0,3.187407062595832,5.403249238936468,0.0,0.47666666666666674,0.10489510489510488,0.597077244258873,0.11692275574112698,4.992404732635669,0.0,26.186202068468653,5.693927994848461,5.759164871656176,5.711685002770702,5.697039313055833,9.729267686435719,0.0,30.605552705190625,5.403249238936468,3.3474683484504912,0.0,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0.08719135802469136,0.06938271604938272,0.11904761904761904,0.05982905982905985,0.036086956521739134,0.007265946502057611,0.006307519640852974,0.31010843308428626
47,1,0,0,7.64169616666666,7.522242964705882,6.337187500000002,6.204416666666667,5.7630728971962615,165.58584000836117,149.5520747517832,157.00270384879695,166.34338201688732,1.0579613847519287,0.35809983964849834,-0.6092237905625062,5.278947236054523,1.977883404255318,3.7308553191489335,3.763463829787231,-0.23448066998642042,66.5595126508245,4.828401375284578,0.022509816696849545,-0.0013157747112145875,0.0033467274733504516,-0.005802131338690535,0.049335955477145074,50.4144773493938,-0.002016229482949314,-0.001848731291389967,-0.0024173264947053652,-0.18298154180702889,0.04977733376582039,-0.3239618705499362,-0.05845337298542916,0.14867857514889743,-0.2577600438435643,0.03270707089761802,0.19714666611299994,-0.04791120927287237,-0.023289665039905517,0.1927667655286148,-0.030188770342871978,0.03514951648259368,1.1959137784173712,0.8236746956874491,0.9976096882755,0.9264576514384522,0.9984605911330047,0.8605161647722372,1.181819896744299,0.9761902450001219,1.047189378875575,0.7617397506716058,0.9473704556372883,1.3806706925238073,0.7988782224073104,0.9774009436168093,1.2341942010901614,0.7811100550469567,0.9765772633332184,1.2767641426687355,0.9187325806454042,0.541847933727839,-0.5206437352154427,14.550567990693306,10.990493645608383,-1.356968362788312,0.8427175430432758,-2.636839718884606,0.8488829422512447,3,0.08134287549257561,0.05887167106201684,0.03289101325763223,0.018338714346621526,0.010448533511905968,1.13788013281835,2,3,0,0,0,4.019532678620882,5.941855625469824,0.0,3.192916662885652,5.417798137008093,0.0,0.47777777777777786,0.09966777408637872,0.6020000000000003,0.11199999999999966,4.992404732635669,0.0,32.60702369139466,5.693927994848461,5.759164871656176,5.711685002770702,5.697039313055833,9.729267686435719,0.0,30.605552705190625,5.417798137008093,3.365484930083144,0.0,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0.08719135802469136,0.06938271604938272,0.11363636363636363,0.057613168724279865,0.034583333333333334,0.006707027540360872,0.005781893004115226,0.295167678793364
48,1,0,0,7.6191607058823525,7.495825934065936,6.311911764705883,6.177686274509804,5.726368965517242,165.58328281062947,149.24586352159608,156.80694534190758,166.08021981620578,1.0635002731273069,0.3622998156431687,-0.6048212324542168,5.745377777777778,2.0057519999999993,3.835327999999998,3.8471779999999978,-0.1465693600000001,70.20422917307764,4.822778203923699,0.02127000546254614,-0.0012270247004394674,0.003123274272785937,-0.00530544940749313,0.04952911877394636,50.480819055248936,-0.0013964015094339636,-0.0009178807547169863,-0.0013827298113207557,-0.1723555295838048,0.045497907584185836,-0.32132379865546007,-0.05768802939896311,0.14683937332717845,-0.2494333824612962,0.04906698343866766,0.19895363692640655,-0.03480992439329399,-0.011966131119906654,0.193655274163251,-0.01797070230855911,0.0324039649178526,1.1901906697426141,0.8101788284933623,0.9794607528278304,0.8813348282495924,0.9864137883771931,0.8403399728925268,1.1417090983530933,0.9757938524229448,1.040201178517185,0.7480533829533845,0.9273299902523818,1.3380744808120524,0.7905566265824566,0.9607411390380034,1.1998194009472534,0.7705593240838723,0.957925862631733,1.239103787292576,0.9210578060905587,0.5418708472302872,-0.5206444799403128,14.550568901396549,10.99049362596109,-1.356968362788312,0.8427175430432758,-2.636839718884606,0.8488829422512447,3,0.08233508286774435,0.061613648369798706,0.034984399319958774,0.019768298699717385,0.011690908261084548,1.1379131177677326,2,3,0,0,0,4.029177740349277,5.948851090322432,0.0,3.1976899055160377,5.430146098875285,0.0,0.4787878787878789,0.09493670886075947,0.6065259117082537,0.10747408829174632,4.992404732635669,0.0,39.02784531432067,5.693927994848461,5.759164871656176,5.711685002770702,5.697039313055833,9.729267686435719,0.0,30.605552705190625,5.430146098875285,3.379470269589317,0.0,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0.08719135802469136,0.06938271604938272,0.10869565217391303,0.05555555555555558,0.0332,0.006227954144620811,0.00533713200379867,0.2821827078263876
49,1,0,0,7.599129185185183,7.472676989690722,6.289444444444445,6.153925925925926,5.6949504000000015,165.58101510698057,148.9736757614296,156.63540438226227,165.93286632735297,1.0688946387555576,0.36592348884352255,-0.6010694492621856,6.147096633835688,2.03225554716981,3.9372188679245252,3.9282075471698086,-0.0708390174439299,73.84893346175109,4.817781461820625,0.02016782337274637,-0.0011522130826872637,0.0029273879107481805,-0.004886743489936469,0.049176773070685506,50.53009058924554,-0.0009302588883557721,-0.00023211973934712877,-0.000615991456034173,-0.1628954683183728,0.04189375184191848,-0.3188587968006063,-0.057131256129716895,0.14515140561495016,-0.2423039610977619,0.06168138850622671,0.20001708416851155,-0.02426059121920863,-0.0031246284745869136,0.19373611085760944,-0.008311054540214668,0.030066363094758637,1.1853651026498995,0.7988268858725479,0.9641085746109674,0.8601783690076319,0.9767959957179639,0.8238024725643692,1.108545621339355,0.9756387711413408,1.034583750327893,0.736796882697786,0.9105632231474967,1.3023512093501814,0.7842912735069194,0.9471865218219756,1.1713949403327844,0.7622680736809242,0.9425590927859969,1.2077746677707042,0.9234352370070638,0.5418938969704162,-0.5206452226494416,14.550569812749302,10.990493608806444,-1.356968362788312,0.8427175430432758,-2.636839718884606,0.8488829422512447,3,0.08328319213735003,0.06423099034540868,0.03698474600173746,0.021140699678689402,0.01272782850065425,1.137942368571902,2,3,0,0,0,4.037136320230934,5.954979562544653,0.0,3.20186525273826,5.440757739981432,0.0,0.47971014492753633,0.09063444108761327,0.6107011070110705,0.10329889298892947,4.992404732635669,0.0,45.448666937246685,5.693927994848461,5.759164871656176,5.711685002770702,5.697039313055833,9.729267686435719,0.0,30.605552705190625,5.440757739981432,3.39064310909549,0.0,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0.08719135802469136,0.06938271604938272,0.10416666666666666,0.05363984674329504,0.03192307692307692,0.00581275720164609,0.004955908289241622,0.27033825902315956
50,1,0,0,7.581206245614032,7.452225009708737,6.269342105263159,6.132666666666667,5.667752238805971,165.5789903715798,148.73013934443858,156.48384877713872,165.80837803504622,1.074167710529985,0.36908460156829803,-0.5978058011117071,6.496315192743765,2.057613428571427,4.036942857142854,4.006983928571426,-0.004992984693875595,77.49362748295589,4.813312017646039,0.019181566259464017,-0.0010884141700843806,0.002754362698270881,-0.0045288318266038415,0.04847996412495347,50.56648945982651,-0.0005745013166556853,0.0002793614219881518,-4.026600559577093e-05,-0.15441950186346684,0.038817032400371286,-0.31654064127732634,-0.05674271617665041,0.14359425403605414,-0.23610333824378685,0.0715456496392301,0.20053849041899002,-0.015635625859544963,0.003875269030290092,0.19324329761475834,-0.0005627415416580145,0.02805074281622566,1.1812778503313517,0.7891820175855978,0.9509776520895207,0.8412135698976028,0.9690553745928341,0.8101168977971381,1.080757109785566,0.9756553755829275,1.0299995709493233,0.7274656351464083,0.8963906377761119,1.2719887088821271,0.7796177700387813,0.9360625009545301,1.1475837044640478,0.7557462454762404,0.9297788783207439,1.1813688027791223,0.9257990590576346,0.541917084501547,-0.5206459633469648,14.550570724752276,10.990493590663425,-1.356968362788312,0.8427175430432758,-2.636839718884606,0.8488829422512447,3,0.08419007926479895,0.06673200601099152,0.038898121088656215,0.02245928101142723,0.013723271930641165,1.137968485361339,2,3,0,0,0,4.043819572044056,5.96039289515711,0.0,3.205548481544488,5.449975427056263,0.0,0.4805555555555556,0.08670520231213871,0.6145648312611016,0.09943516873889835,4.992404732635669,0.0,51.8694885601727,5.693927994848461,5.759164871656176,5.711685002770702,5.697039313055833,9.729267686435719,0.0,30.605552705190625,5.449975427056263,3.3997753405004487,0.0,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0.08719135802469136,0.06938271604938272,0.09999999999999999,0.051851851851851864,0.030740740740740742,0.00544945987654321,0.004625514403292182,0.2594830140437839
51,1,0,0,7.550481206349202,7.41772340869565,6.234880952380954,6.096222222222222,5.623018421052629,165.57552872718495,148.31264834388267,156.22818106066944,165.60956837419812,1.084420401334053,0.37432809318321647,-0.5923977194895796,7.072696265464217,2.1055574193548376,4.231148387096771,4.1590854838709665,0.10371389177939808,84.78299068471549,4.805653081015349,0.01749065163442021,-0.0009856754138647132,0.0024626848235737926,-0.003949318129930531,0.04653089648331722,50.61212613656012,-8.520144802216995e-05,0.0009562163825827014,0.0007303795195732259,-0.13986366214786192,0.033842627331094007,-0.31226514750938356,-0.05635441345850045,0.14080006137263776,-0.22579594016717977,0.08557093358875298,0.20047772919352927,-0.0025088319742869523,0.014011660735161914,0.19113751866120324,0.010887857532419236,0.024748394431267633,1.1748486930368043,0.7737924945202672,0.9297357296693789,0.8106556713657067,0.9576887661141802,0.7891288791292492,1.0370590154344597,0.9760207923180846,1.0230421700471055,0.7131653116436983,0.8739288704757184,1.2232265741399602,0.7737601661363069,0.9192342599357842,1.1101715833342425,0.7466452721879748,0.9100338581521075,1.139498200004355,0.9303469176979603,0.5419638780089181,-0.5206474387420682,14.550572550711465,10.990493555322358,-1.356968362788312,0.8427175430432758,-2.636839718884606,0.8488829422512447,3,0.08589049262876565,0.0714147587465509,0.042485699376628876,0.02494717031847973,0.015599299933308813,1.138013136646506,2,3,0,0,0,4.054425721370157,5.969522711695461,0.0,3.2117500466550495,5.46520046069717,0.0,0.4820512820512821,0.07978723404255318,0.6214876033057855,0.09251239669421452,4.992404732635669,0.0,64.71113180602472,5.693927994848461,5.759164871656176,5.711685002770702,5.697039313055833,9.729267686435719,0.0,30.605552705190625,5.46520046069717,3.4138105962315084,0.0,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0.08719135802469136,0.06938271604938272,0.09259259259259259,0.04861111111111113,0.028620689655172414,0.004843964334705075,0.004081336238198984,0.24026426426928255
52,1,0,0,7.730104512820512,7.630236477611941,6.436346153846153,6.309282051282052,5.974372499999999,165.5959342099337,150.75336496251794,157.88194243191995,165.66269015872336,1.0395179333830187,0.37790253099570326,-0.6600086115099134,1.4706063404124348,1.882854315789473,3.3958315789473668,3.4898552631578923,-0.21658864265928196,55.62526070831941,0.7473762485777717,0.027355735089026806,-0.00171405857271733,0.004723781637446291,-0.007586305879424292,0.018382579255155435,50.041022761369675,-0.0030782083102493044,-0.002148725761772879,-0.003094123466561171,-0.22449765828255366,0.010676803551111025,-0.33642223347859396,-0.06265810687006139,0.17267975516187606,-0.2773204907393398,0.029349796811503587,0.17003789487360632,-0.0621247830002332,-0.024044649167400577,0.15175586003038857,-0.03369099371271116,0.007293782173348789,1.2176809747187787,0.875638940078381,1.0369140703307544,1.0077471459084077,0.8735632183908046,0.931578227571116,1.1800906533291655,1.1625358037852778,1.1828534284142187,0.8264278929873324,0.9661380571356497,1.4306646974280257,0.8708260940657893,0.9984987399412281,1.2512634685248787,0.8477685038212261,0.9904439182743972,1.2945311733310785,0.9530853438661165,0.5417872826437582,-0.5206415303191628,14.550565288938126,10.990493685187573,-1.356968362788312,0.8427175430432758,-2.636839718884606,0.8488829422512447,3,0.07613966119479194,0.047806506749773325,0.02511330630761781,0.014506136308340068,0.008257563953872327,1.1377499290707875,2,3,0,0,0,3.958327664399093,5.905455430629042,0.0,3.1712971886285377,5.365187547241119,0.0,0.4740740740740741,0.17578125,0.5858123569794054,0.1281876430205946,4.992404732635669,0.0,13.847474399381248,5.693927994848461,5.759164871656176,5.711685002770702,5.697039313055833,9.729267686435719,0.0,30.605552705190625,5.365187547241119,3.2880050075585787,0.0,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0.08063271604938271,0.05530864197530866,0.18421052631578944,0.07111111111111115,0.03952380952380953,0.01007908950617284,0.009218106995884776,0.42434503393276923
53,1,0,0,7.696425142857139,7.588429479452054,6.398571428571429,6.269333333333334,5.903244943820224,165.59207707599947,150.29573059652375,157.56564851923952,164.68171194463082,1.0457431481890074,0.34107794895008503,-0.5838584304194504,0.919773283098685,1.9168524878048774,3.5118975609756076,3.5856243902439005,-0.40653789411064867,59.270032163899515,2.9167310981763257,0.025505930443634327,-0.0014813696864296115,0.003832336505057135,-0.006081858650202609,0.010334531270771741,50.204744247149684,-0.003478276339271733,-0.005045864773474417,-0.005349182817245377,-0.20871418503491265,0.03837804076547797,-0.33138849786910723,-0.05807942155661787,0.1502527623340867,-0.23844880560789328,-0.041636501846087026,0.16192326732900605,-0.07439765491472587,-0.058908453939920606,0.13956489600833946,-0.0611654963369273,0.026547980723772777,1.206216520677098,0.870614895370441,1.1707951148736564,0.8359146458550863,0.8747489959839359,0.9855593168866897,1.2710334984641798,1.1256203350610383,1.0878669392925253,0.8161417640321647,1.1354224107352482,1.434515568796346,0.8715669746739308,1.1516436556683025,1.276345525180094,0.8458182416166673,1.17077998580931,1.3127053781370726,0.9440511706269091,0.5418059668832003,-0.5206422713283598,14.550566179521056,10.990493560613054,-1.356968362788312,0.8427175430432758,-2.636839718884606,0.8488829422512447,3,0.0784369108828365,0.05035007973309036,0.02705565952463117,0.014758423645325407,0.008925365427238895,1.137799681722295,2,3,0,0,0,3.9815929705215414,5.917750434540207,0.0,3.1791707049363973,5.385802390400604,0.0,0.47543859649122816,0.16605166051660514,0.5917030567685593,0.12229694323144069,4.992404732635669,0.0,13.847474399381248,5.693927994848461,5.759164871656176,5.711685002770702,5.697039313055833,9.729267686435719,0.0,30.605552705190625,5.385802390400604,3.319903155706727,0.0,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0.14313271604938269,0.06469135802469136,0.17500000000000004,0.06837606837606841,0.04136363636363636,0.011927726337448558,0.00808641975308642,0.40258085607049743
54,1,0,0,7.850033199999999,7.838289588235294,6.551475000000001,6.4328,6.089984415584416,166.10504578923027,151.48183835695497,160.09228240560938,165.99997090825684,1.1960401737719155,0.3088423739127554,-0.49484861892898163,-0.30869676382497,2.725195897435897,4.3939230769230715,4.640235897435895,-0.9600998027613417,56.25925203301584,11.543865614704378,0.03066769676338245,-0.0025566007149813263,0.004010939920944875,-0.006109242208999773,-0.004009048880843766,48.92362312102658,-0.00834273651545035,-0.010984386587771214,-0.012801330703484555,-0.3212935923584881,0.15391820819605836,-0.31216980665954,-0.08336461439236396,0.13078712600725786,-0.19920772844911758,-0.0422192602465845,0.05614078905762305,-0.1193920497270296,-0.09749626232033776,0.05641908613795529,-0.10759192171927609,0.10669907442287922,1.3223855925510648,0.9286192065766438,0.9422788708910932,0.8160178692401955,1.0606548577563064,0.7704885972968359,1.1247100966344552,1.068293681436247,1.1608196142662797,0.8877657707616391,0.8204634791285372,1.2406670078951745,0.9133006329466482,0.8765271069842757,1.1960379311753422,0.9027253213297024,0.8640945261511418,1.2178380851548218,0.8465986604444502,0.5418192528144204,-0.5206439984642037,14.55056864087055,10.99049372570537,-1.7559628408463377,1.1284318287575617,-3.719133983223758,1.022017128129546,3,0.07921325966294519,0.04901407862393859,0.025995492531704814,0.014524844793597797,0.00825297258764101,1.139586753279106,2,3,0,0,0,3.9121369520030234,5.880098919388692,0.0,3.1644473348721185,10.362715961971464,0.0,0.4666666666666667,0.11278195488721804,0.5530145530145533,0.1609854469854467,4.992404732635669,0.0,0.0,5.693927994848461,5.759164871656176,5.711685002770702,5.697039313055833,14.466130640235768,0.0,30.605552705190625,10.362715961971464,3.2433753779289494,0.0,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0.08719135802469136,0.06938271604938272,0.12499999999999999,0.06222222222222225,0.03772727272727273,0.007926487093153758,0.007709190672153636,0.3231797706473908
55,1,0,0,7.691412979591833,7.655380253164554,6.449846938775511,6.297183673469388,6.050745454545456,158.84783366733652,145.86377131506526,148.4740801732727,157.55071200332583,1.0778092304015088,0.37976529078701077,-0.6927219429391859,-0.08737660155429565,1.8859919999999994,3.4943652173913016,3.539393478260868,-0.07491389413988617,71.52530895930383,5.654901504433019,0.02343063544351106,-0.0006372161558303687,0.0038360130382526342,-0.007068591254481489,-0.0008825919348918752,51.58348767445912,-0.00185479069767443,0.00033043258451658305,-0.0008710917923242578,-0.0061421553503882825,0.06575466865619789,-0.325950820348988,-0.027195854647930215,0.16371784058101546,-0.30168158569677556,0.099713335884794,0.14337286733352017,-0.04523898939816489,0.004349831211721543,0.11657805643326387,-0.011321211584139818,0.04228873390684817,1.1589462227728557,0.9904899572261736,1.2655490163967553,0.9876603428094806,0.9188265306122446,1.013607407176092,1.0325184605686755,1.1043404777770902,1.0282705858849164,1.0761030896111,1.3122810769628002,1.4718110964884112,1.0443826899636501,1.1677186641976682,1.2477238742181844,1.0447860950249899,1.2109578881065568,1.317884450134363,0.9716901137342769,0.5428044141292925,-0.5108348619668783,14.550574436657744,10.95524688630205,-1.356968362788312,0.8427175430432758,-2.636839718884606,0.8488829422512447,3,0.07987927448977229,0.04578830545403564,0.02440002422833931,0.012373886121956617,0.006562314297670151,1.1137934196671722,2,3,0,0,0,3.9537499999999994,26.12682318464831,0.0,3.2204704655813963,6.073953609221467,0.0,0.4820512820512821,0.0,0.6214876033057853,0.09251239669421463,4.992404732635669,0.0,48.53093654769288,12.300809959361379,5.759164871656176,5.711685002770702,5.697039313055833,9.729267686435719,0.0,79.13648925288351,6.073953609221467,3.3116861929957166,0.0,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0.1758471907281431,0.07876543209876542,0.1206896551724138,0.05263157894736843,0.032407407407407406,0.005861573024271436,0.002813051146384479,0.27258923181677835
