,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_criterion,param_max_depth,param_max_features,param_n_estimators,param_warm_start,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_train_r2,split1_train_r2,split2_train_r2,split3_train_r2,split4_train_r2,mean_train_r2,std_train_r2,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error,split0_train_neg_root_mean_squared_error,split1_train_neg_root_mean_squared_error,split2_train_neg_root_mean_squared_error,split3_train_neg_root_mean_squared_error,split4_train_neg_root_mean_squared_error,mean_train_neg_root_mean_squared_error,std_train_neg_root_mean_squared_error
0,0.0006083011627197266,0.0001388377202488524,0.0,0.0,True,friedman_mse,3,auto,10,True,"{'bootstrap': True, 'criterion': 'friedman_mse', 'max_depth': 3, 'max_features': 'auto', 'n_estimators': 10, 'warm_start': True}",,,,,,,,321,,,,,,,,,,,,,,,321,,,,,,,
1,0.0012053489685058595,0.0002745642103854418,0.0,0.0,True,friedman_mse,3,auto,10,False,"{'bootstrap': True, 'criterion': 'friedman_mse', 'max_depth': 3, 'max_features': 'auto', 'n_estimators': 10, 'warm_start': False}",,,,,,,,321,,,,,,,,,,,,,,,321,,,,,,,
2,0.0008264541625976563,0.00016476373686481294,0.0,0.0,True,friedman_mse,3,auto,20,True,"{'bootstrap': True, 'criterion': 'friedman_mse', 'max_depth': 3, 'max_features': 'auto', 'n_estimators': 20, 'warm_start': True}",,,,,,,,321,,,,,,,,,,,,,,,321,,,,,,,
3,0.0010915279388427734,0.00033777770424275167,0.0,0.0,True,friedman_mse,3,auto,20,False,"{'bootstrap': True, 'criterion': 'friedman_mse', 'max_depth': 3, 'max_features': 'auto', 'n_estimators': 20, 'warm_start': False}",,,,,,,,321,,,,,,,,,,,,,,,321,,,,,,,
4,0.014534807205200196,0.001948861767586919,0.003163576126098633,0.00015755258220074016,True,friedman_mse,3,sqrt,10,True,"{'bootstrap': True, 'criterion': 'friedman_mse', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 10, 'warm_start': True}",0.34631520071561395,0.17877084389644038,-0.18476101361622277,-0.3500686659748915,-1.762288948865658,-0.3544065167689435,0.7464878270376046,87,0.8427331739424793,0.847446693983224,0.8535811386613542,0.8091089613982888,0.6806549695964904,0.8067049875163674,0.06488401423645133,-2.3500471914954066,-1.5013315074222922,-2.860437090781713,-1.263919550723071,-3.111173694470094,-2.217381806978515,0.7282585318443258,105,-1.0279560550092806,-1.1885033122612367,-1.095934060147141,-1.3406745529235709,-1.2904028326880799,-1.1886941626058618,0.11651944462342173
5,0.015382337570190429,0.0015865203321409208,0.0031214237213134767,0.0005463126547060727,True,friedman_mse,3,sqrt,10,False,"{'bootstrap': True, 'criterion': 'friedman_mse', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 10, 'warm_start': False}",0.34631520071561395,0.17877084389644038,-0.18476101361622277,-0.3500686659748915,-1.762288948865658,-0.3544065167689435,0.7464878270376046,87,0.8427331739424793,0.847446693983224,0.8535811386613542,0.8091089613982888,0.6806549695964904,0.8067049875163674,0.06488401423645133,-2.3500471914954066,-1.5013315074222922,-2.860437090781713,-1.263919550723071,-3.111173694470094,-2.217381806978515,0.7282585318443258,105,-1.0279560550092806,-1.1885033122612367,-1.095934060147141,-1.3406745529235709,-1.2904028326880799,-1.1886941626058618,0.11651944462342173
6,0.035689592361450195,0.0068517000874279525,0.0047271728515625,0.0010950418423963414,True,friedman_mse,3,sqrt,20,True,"{'bootstrap': True, 'criterion': 'friedman_mse', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 20, 'warm_start': True}",0.33007002385290973,0.3029224908001753,-0.03327140750350166,-0.40465786806697435,-1.7328546108295009,-0.3075582743493784,0.7609714678611595,47,0.8497445694573517,0.842027620243625,0.8469014386324187,0.8124010570204607,0.6853579579298253,0.8072865286567362,0.06240465451478343,-2.379069316689378,-1.3831999176934693,-2.6713096279426,-1.289219248117567,-3.0945533118814517,-2.163470284464893,0.7133633106964743,33,-1.0047802192060373,-1.2094284062504492,-1.120653796456676,-1.3290636778556764,-1.2808657199500353,-1.1889583639437749,0.11582969105120296
7,0.02331385612487793,0.0018913976519318186,0.003958368301391601,0.0008391155436516121,True,friedman_mse,3,sqrt,20,False,"{'bootstrap': True, 'criterion': 'friedman_mse', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 20, 'warm_start': False}",0.33007002385290973,0.3029224908001753,-0.03327140750350166,-0.40465786806697435,-1.7328546108295009,-0.3075582743493784,0.7609714678611595,47,0.8497445694573517,0.842027620243625,0.8469014386324187,0.8124010570204607,0.6853579579298253,0.8072865286567362,0.06240465451478343,-2.379069316689378,-1.3831999176934693,-2.6713096279426,-1.289219248117567,-3.0945533118814517,-2.163470284464893,0.7133633106964743,33,-1.0047802192060373,-1.2094284062504492,-1.120653796456676,-1.3290636778556764,-1.2808657199500353,-1.1889583639437749,0.11582969105120296
8,0.014183950424194337,0.0005902156668064723,0.003888559341430664,0.0008382537580641299,True,friedman_mse,3,log2,10,True,"{'bootstrap': True, 'criterion': 'friedman_mse', 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 10, 'warm_start': True}",0.2849292437494827,0.10942587301494655,-0.39681288064736653,-0.24987937678747674,-1.691205517697953,-0.3887085316736734,0.6953795152192189,131,0.8454230924571063,0.8270537088047288,0.8267351418447804,0.8047867899699074,0.6702215564985368,0.794844057915012,0.0636276156395604,-2.457915221585541,-1.5634336531799373,-3.105890491160183,-1.216117544481977,-3.07088206090775,-2.282847794263078,0.7725951103417126,227,-1.0191269711260826,-1.265450643697871,-1.1921781435184726,-1.3557674322225768,-1.311312975581243,-1.2287672332292492,0.11796298038702104
9,0.014084768295288087,0.0010811900549536127,0.0032976150512695314,0.0005080060121984974,True,friedman_mse,3,log2,10,False,"{'bootstrap': True, 'criterion': 'friedman_mse', 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 10, 'warm_start': False}",0.2849292437494827,0.10942587301494655,-0.39681288064736653,-0.24987937678747674,-1.691205517697953,-0.3887085316736734,0.6953795152192189,131,0.8454230924571063,0.8270537088047288,0.8267351418447804,0.8047867899699074,0.6702215564985368,0.794844057915012,0.0636276156395604,-2.457915221585541,-1.5634336531799373,-3.105890491160183,-1.216117544481977,-3.07088206090775,-2.282847794263078,0.7725951103417126,227,-1.0191269711260826,-1.265450643697871,-1.1921781435184726,-1.3557674322225768,-1.311312975581243,-1.2287672332292492,0.11796298038702104
