,0,1,2,3,4
0,16.0,0.0,0.0,0.8962264150943396,0.10377358490566038
1,30.0,1.0,1.0,0.24867724867724866,0.7513227513227513
2,40.0,1.0,1.0,0.24867724867724866,0.7513227513227513
3,45.0,1.0,1.0,0.24867724867724866,0.7513227513227513
4,54.0,1.0,1.0,0.24867724867724866,0.7513227513227513
5,71.0,0.0,1.0,0.23076923076923078,0.7692307692307693
6,73.0,0.0,0.0,0.8962264150943396,0.10377358490566038
7,77.0,1.0,1.0,0.24867724867724866,0.7513227513227513
8,97.0,0.0,1.0,0.24867724867724866,0.7513227513227513
9,110.0,1.0,1.0,0.24867724867724866,0.7513227513227513
10,116.0,0.0,1.0,0.24867724867724866,0.7513227513227513
11,121.0,1.0,1.0,0.24867724867724866,0.7513227513227513
12,128.0,1.0,1.0,0.24867724867724866,0.7513227513227513
13,135.0,0.0,0.0,0.8962264150943396,0.10377358490566038
14,137.0,1.0,1.0,0.24867724867724866,0.7513227513227513
15,163.0,1.0,0.0,0.8962264150943396,0.10377358490566038
16,169.0,0.0,1.0,0.24867724867724866,0.7513227513227513
17,187.0,1.0,1.0,0.24867724867724866,0.7513227513227513
18,189.0,0.0,1.0,0.24867724867724866,0.7513227513227513
19,191.0,1.0,1.0,0.24867724867724866,0.7513227513227513
20,201.0,1.0,1.0,0.24867724867724866,0.7513227513227513
21,207.0,0.0,1.0,0.24867724867724866,0.7513227513227513
22,216.0,0.0,0.0,0.8962264150943396,0.10377358490566038
23,261.0,1.0,1.0,0.24867724867724866,0.7513227513227513
24,274.0,0.0,1.0,0.24867724867724866,0.7513227513227513
25,276.0,0.0,1.0,0.24867724867724866,0.7513227513227513
26,278.0,1.0,1.0,0.24867724867724866,0.7513227513227513
27,280.0,0.0,0.0,0.8962264150943396,0.10377358490566038
28,319.0,0.0,0.0,0.8962264150943396,0.10377358490566038
29,320.0,0.0,0.0,1.0,0.0
30,328.0,0.0,0.0,0.8962264150943396,0.10377358490566038
31,334.0,0.0,0.0,0.8962264150943396,0.10377358490566038
32,341.0,0.0,0.0,0.8962264150943396,0.10377358490566038
33,346.0,0.0,0.0,1.0,0.0
34,347.0,0.0,0.0,0.8962264150943396,0.10377358490566038
35,355.0,0.0,0.0,0.8962264150943396,0.10377358490566038
