,feature,importance,importance_std,abs_importance
0,$\Delta t$,0.030921052631579005,0.016978273553373613,0.030921052631579005
1,NdssC_3,0.018421052631579005,0.00944256585158376,0.018421052631579005
2,NdO_0,0.016447368421052676,0.00857789790158242,0.016447368421052676
3,NdO_6,0.01447368421052635,0.0016115064097257665,0.01447368421052635
4,nBondsD_6,0.01447368421052635,0.0016115064097257665,0.01447368421052635
5,SpMax_A,-0.011842105263157853,0.006773440882228279,0.011842105263157853
6,nBondsD_1,-0.011842105263157831,0.003354618101047867,0.011842105263157831
7,ATSC0c,0.009210526315789535,0.0024616167018249482,0.009210526315789535
8,AATSC3c,0.009210526315789535,0.0024616167018249482,0.009210526315789535
9,squaramide,0.009210526315789535,0.0024616167018249482,0.009210526315789535
10,nS_0,-0.009210526315789424,0.006709236202095734,0.009210526315789424
11,[Cl$^{-}]$,0.008552631578947433,0.00394736842105261,0.008552631578947433
12,NdssC_0,0.008552631578947433,0.004462059199424494,0.008552631578947433
13,SssNH,0.008552631578947412,0.006773440882228282,0.008552631578947412
14,BCUTc-1h,-0.008552631578947322,0.009890326564719033,0.008552631578947322
15,PEOE_VSA11,0.007894736842105333,0.0049232334036498964,0.007894736842105333
16,MATS6s,0.007894736842105333,0.004462059199424494,0.007894736842105333
17,TopoPSA,0.007236842105263231,0.003223012819451533,0.007236842105263231
18,ATSC3c,0.007236842105263208,0.00436397998730975,0.007236842105263208
19,ATSC6d,0.007236842105263208,0.00436397998730975,0.007236842105263208
20,GATS3c,-0.00723684210526312,0.003223012819451533,0.00723684210526312
21,BCUTc-1l,-0.00723684210526312,0.005263157894736814,0.00723684210526312
22,n5HRing_2,-0.00723684210526312,0.0024616167018249487,0.00723684210526312
23,n5Ring_2,-0.00723684210526312,0.0024616167018249487,0.00723684210526312
24,GATS4v,-0.00723684210526312,0.006378526128179346,0.00723684210526312
25,AATSC0c,-0.007236842105263097,0.010689524216626249,0.007236842105263097
26,PEOE_VSA6,0.006578947368421106,0.006578947368421051,0.006578947368421106
27,NssNH_2,0.006578947368421106,0.013642395627189292,0.006578947368421106
28,MATS3c,-0.006578947368420995,0.005504342279829455,0.006578947368420995
29,SdsCH,0.0059210526315790265,0.010485116743756084,0.0059210526315790265
30,PEOE_VSA13,0.0059210526315790265,0.0013157894736842036,0.0059210526315790265
31,GATS2se,0.0059210526315790265,0.0024616167018249482,0.0059210526315790265
32,PEOE_VSA10,0.005921052631579005,0.0038361525623982376,0.005921052631579005
33,nS_2,0.005921052631579005,0.003223012819451574,0.005921052631579005
34,urea,0.005921052631579005,0.007615682172888293,0.005921052631579005
35,MATS2c,-0.005921052631578894,0.005659424517791207,0.005921052631578894
36,AATSC2c,0.005263157894736903,0.0026315789473684514,0.005263157894736903
37,ATSC2c,0.005263157894736903,0.0039473684210526395,0.005263157894736903
38,NaaNH_1,0.005263157894736903,0.008727959974619465,0.005263157894736903
39,ATSC7d,0.005263157894736903,0.004462059199424538,0.005263157894736903
40,NdssC_2,-0.005263157894736792,0.0061010647996682255,0.005263157894736792
41,BCUTp-1h,0.004605263157894823,0.0016115064097257665,0.004605263157894823
42,AATSC6d,0.0046052631578948015,0.002631578947368446,0.0046052631578948015
43,NssO_1,0.003947368421052722,0.0013157894736842036,0.003947368421052722
44,NdsCH_1,0.003947368421052699,0.0024616167018249842,0.003947368421052699
45,perenosin,0.003947368421052699,0.0024616167018249842,0.003947368421052699
46,MATS3are,0.003947368421052699,0.00436397998730975,0.003947368421052699
47,MATS6d,0.003947368421052699,0.002461616701824984,0.003947368421052699
48,SdO,0.003947368421052655,0.005263157894736864,0.003947368421052655
49,VSA_EState1,-0.003947368421052611,0.0024616167018249482,0.003947368421052611
50,NdO_2,-0.003947368421052611,0.0024616167018249487,0.003947368421052611
51,NdssC_1,-0.003947368421052588,0.010276644310403517,0.003947368421052588
52,nBase_1,-0.003947368421052588,0.005263157894736845,0.003947368421052588
53,nFRing_1,0.00328947368421062,0.0,0.00328947368421062
54,SdssC,0.0032894736842105977,0.0036034378783234822,0.0032894736842105977
55,VSA_EState5,0.0032894736842105977,0.0020804458290581682,0.0032894736842105977
56,MATS4c,0.0032894736842105977,0.0020804458290581682,0.0032894736842105977
57,NdsCH_2,0.0032894736842105756,0.009304036594559834,0.0032894736842105756
58,n5ARing_1,0.0032894736842105756,0.009304036594559834,0.0032894736842105756
59,n5ARing_0,0.0032894736842105756,0.009304036594559834,0.0032894736842105756
60,n5AHRing_1,0.0032894736842105756,0.009304036594559834,0.0032894736842105756
61,n5AHRing_0,0.0032894736842105756,0.009304036594559834,0.0032894736842105756
62,tambjamine,0.0032894736842105756,0.009304036594559834,0.0032894736842105756
63,SssO,-0.003289473684210509,0.0029421947072365497,0.003289473684210509
64,nAHRing_0,-0.003289473684210509,0.002080445829058133,0.003289473684210509
65,nS_3,-0.003289473684210509,0.004160891658116266,0.003289473684210509
66,NdO_1,-0.003289473684210509,0.002080445829058133,0.003289473684210509
67,nBondsD_4,-0.003289473684210509,0.0029421947072365497,0.003289473684210509
68,AATSC2se,-0.0032894736842104867,0.006241337487174435,0.0032894736842104867
69,nBase_0,-0.0032894736842104867,0.006241337487174435,0.0032894736842104867
70,BCUTi-1l,-0.0032894736842104867,0.0058843894144731245,0.0032894736842104867
71,ATSC2are,-0.0032894736842104867,0.005096030718693985,0.0032894736842104867
72,SaaNH,0.002631578947368496,0.001315789473684248,0.002631578947368496
73,MATS2se,0.002631578947368496,0.001315789473684248,0.002631578947368496
