,nBase,nF,nX,AATS1se,AATS2se,AATS1pe,AATS1are,AATS3are,AATS0i,AATS1i,AATS2i,AATS8i,ATSC0c,ATSC3c,ATSC4c,ATSC3s,ATSC0se,ATSC0pe,ATSC0are,ATSC6are,ATSC0i,ATSC1i,ATSC6i,AATSC0c,AATSC2c,AATSC3c,AATSC4c,AATSC3s,AATSC0v,AATSC6se,AATSC6pe,AATSC6are,AATSC1i,AATSC6i,MATS1c,MATS2c,MATS3c,MATS4c,MATS6s,MATS3se,MATS6se,MATS6pe,MATS3are,MATS6are,MATS6i,GATS2c,GATS3c,GATS5c,GATS8c,GATS4d,GATS5s,GATS6s,GATS3v,GATS7v,GATS3se,GATS5se,GATS6se,GATS3pe,GATS5pe,GATS6pe,GATS3are,GATS5are,GATS6are,GATS6i,BCUTc-1h,BCUTc-1l,BCUTi-1h,BCUTi-1l,SM1_Dzv,SM1_Dzare,SM1_Dzp,SM1_Dzi,nBondsD,AXp-5d,AXp-4dv,AXp-5dv,AXp-6dv,AXp-7dv,Mi,NdsCH,NdssC,NaaaC,NsF,NaaS,SdsCH,SaaCH,SaaaC,SaaNH,SssO,SaaS,AETA_alpha,ETA_shape_p,ETA_psi_1,ETA_dPsi_A,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,SMR_VSA1,EState_VSA1,EState_VSA7,VSA_EState1,VSA_EState3,MID_X,AMID_X,nARing,n5ARing,nAHRing,n5AHRing,nFRing,n9FRing,nFHRing,n9FHRing,nFaRing,n9FaRing,nFaHRing,n9FaHRing,GGI8,GGI9,JGI1,JGI2,JGI4,JGI8,JGI9,JGT10,classes
125,0,0,0,7.78559068965517,7.74315092473118,6.565974137931034,6.418448275862069,6.238372357723579,159.38938586118945,147.43612477272248,148.31661502485804,156.43291305315213,1.1068247358180938,-0.237930426349106,-0.4166379267110981,-17.664466163694563,3.1379713333333337,5.176933333333332,5.4755648148148115,-2.5726048010973845,88.28965709052133,2.4796599809560274,1.124340556347669,0.020496754367001737,0.008127570396150181,-0.0019343937101553334,-0.003333103413688785,-0.14361354604629725,48.696090487113125,-0.014396768077601518,-0.01985111331569661,-0.02296968572408379,0.0427527582923453,0.010038754967389901,-0.8077769917537442,0.39652962857548657,-0.0943756106708077,-0.16261615639278168,-0.19098354016724636,-0.09135836126159286,-0.24774779423005625,-0.20706469448726736,-0.08773163650068701,-0.22652695585751637,0.0061399351419301525,0.5910844999944946,1.1577323543241804,1.188436740739741,0.6438885940619482,1.1781574705517666,1.6304743663364183,1.8665569500244548,1.00195029130599,0.9919928428275789,1.0803676345460553,1.5091457177110383,1.774651216122372,1.075851321716658,1.3601580407963532,1.5715907491657128,1.0886297219052488,1.4080010179907032,1.643392270421234,1.0182811846965942,0.43833565029125726,-0.3464997124690457,14.549966408737086,10.91957616846115,-2.3946120973331952,1.4997673336435549,-4.755497619587395,1.4725162990448417,2,0.07311935003477524,0.04009024211423319,0.02123110853014367,0.010448305448395702,0.005453888134928726,1.1154260132533802,0,2,4,0,0,0.0,29.872700997879118,3.422329376705279,3.368658667170572,0.0,0.0,0.4747474747474748,0.042553191489361694,0.5882352941176473,0.12576470588235267,0.0,0.0,60.6636706846161,0.0,0.0,0.0,0.0,9.589074368143644,0.0,97.06187309538579,0.0,13.332124336304393,0.0,0.0,0,0,0,0,1,0,1,0,1,0,1,0,0.3563240110859159,0.30313271604938274,0.14864864864864863,0.05228758169934643,0.0344671201814059,0.007918311357464796,0.008420353223593965,0.346427349333578,0
126,0,0,0,8.089579806451612,8.015801737373732,6.886143548387098,6.767741935483871,6.516609160305343,162.09442760837467,151.03340638503397,149.69559794591106,159.19396141116127,1.499708622825669,-0.2274892975481263,-0.5446438815742604,-9.06289635354736,6.250368344827585,8.683310344827582,9.666987931034479,-1.7851448275862065,97.76230068336733,12.65002658914236,5.941597599802141,0.025857045221132226,0.007035123817477142,-0.0017365595232681397,-0.0038627225643564564,-0.06918241491257528,42.809293134574844,-0.00923555885850178,-0.013850326991676569,-0.015389179548156953,0.20403268692165097,0.05122066896381156,-0.6038155448458553,0.2720776390848996,-0.06716001416313798,-0.14938762458440394,-0.07229029994431141,-0.11501182471695397,-0.08570093540749227,-0.09251298567207802,-0.11938412314495031,-0.09233200870434807,0.03038797961110692,0.7168343068894208,0.992452643315799,1.0158797768002301,0.5372521708867551,1.007522831844336,1.120362868119716,0.8545566013470149,1.0606723080016465,1.0629500537066927,0.8523826587268467,1.141324226769006,1.0008320833748159,0.8889638338862232,1.1423850694013236,1.0376317430187123,0.8919835959250865,1.1372283492751072,1.035791468048119,0.994143976405263,0.46967679825581077,-0.38812013859448785,14.596947202727671,10.919576168460155,-4.629239266052155,3.013959981386691,-10.121038313307638,2.615552213473342,4,0.07152666016297657,0.03862928028118466,0.020433692930074732,0.010189515756469977,0.005285076268072739,1.1247713082305946,0,2,4,0,0,0.0,21.60483642727609,2.8498880406664293,3.258589796647156,0.0,0.0,0.4564102564102565,0.11235955056179771,0.5129682997118157,0.2010317002881843,0.0,0.0,24.26546827384644,0.0,0.0,0.0,11.374772549367124,19.435696465778985,21.908851122311486,12.13273413692322,0.0,34.079651333755976,0.0,0.0,0,0,0,0,1,0,1,0,1,0,1,0,0.43795666414714035,0.44563271604938276,0.19767441860465118,0.07285974499089255,0.037815442561205274,0.007962848439038914,0.01012801627384961,0.4354422967490603,1
127,0,6,6,8.098656687499998,8.416272114285709,6.9297734375,6.801093750000001,6.636739259259258,171.8684000612622,151.18366535331415,158.91973256095423,164.1523774890357,1.6039647177116942,-0.07872695118882886,-0.39239245767193487,0.12222222222222578,11.289952733333328,16.74917333333334,19.41845833333332,1.6998652777777674,221.38633533714602,-5.975725797541143,56.355125870248806,0.026732745295194905,0.00775791626074923,-0.0005831626013987323,-0.002633506427328422,0.0009053497942387095,42.71555161305751,0.005718503032015123,0.010895981167608215,0.014405637947269215,-0.09337071558658036,0.47758581245973564,-0.7863319630389635,0.29020275228312153,-0.02181454223871101,-0.09851238240772014,-0.02749474086920262,-0.051892584146297153,0.030390754507579325,0.03903230667243832,-0.04130143451236175,0.0445111688064571,0.12943503809277854,0.5855643677674521,0.9973645863644678,0.9907014403987495,0.5192946866288911,0.924279685988596,1.0327796160737897,0.6692194388877282,1.0967948656093445,1.061239276178841,0.6697971734906435,1.0290022977729352,0.6074847399272549,0.6574170338268543,1.036922254852188,0.5923844599693672,0.6570412506046772,1.0207896658910651,0.5715798756767081,0.48561925232518227,0.5073999616492677,-0.3464944459907006,17.433836366357276,10.919576168448405,-5.67457008913744,3.8412307482777006,-16.74472562676872,3.59473546014409,2,0.0706064206434609,0.038278156924155496,0.02026377867439949,0.010072416668068346,0.005240687136198992,1.15168958938335,0,2,4,6,0,0.0,18.19471988530562,2.4473976218648223,3.1668198241953656,0.0,0.0,0.448315911730546,0.12953367875647662,0.47228679799339285,0.24171320200660712,26.34249028604892,0.0,24.26546827384644,0.0,0.0,0.0,0.0,35.93156465419256,35.54172904295709,0.0,76.72300504835628,11.704710977755221,10.138503675621596,0.24728057745418527,0,0,0,0,1,0,1,0,1,0,1,0,0.48733938019652295,0.5256327160493828,0.25555555555555554,0.0796019900497513,0.03668430335097002,0.008259989494856321,0.011426798174986581,0.512856263317375,1
128,0,12,12,8.358054228571428,8.951317162393162,7.2312071428571425,7.118142857142857,6.970066666666666,182.07850258859446,154.28877040580434,167.34785162810772,165.5609978251962,2.1065013017120653,0.12086551201055049,-0.7815256050815534,19.85653887358432,17.80780903030303,25.793975757575758,30.433553030303013,13.2780393480257,338.11212501422733,-11.90159364239965,263.4887068727909,0.031916686389576746,0.008116141246371299,0.0008222143674187108,-0.0045174890467141815,0.13507849573866884,37.55479072536127,0.0471513732173875,0.06295847245732249,0.07998818884352832,-0.170022766319995,1.5872813667035595,-0.7652235614006411,0.25429147460062906,0.025761269744068015,-0.14154003932530693,0.20055693673074054,-0.04171424846116789,0.17475426803218697,0.1610941725787609,-0.031816609947619444,0.17346710909555296,0.3098397320061406,0.5620649976694986,0.9020262517418706,1.125964210323633,0.7454321342189962,0.961735422756544,0.870372536268836,0.9568834540223103,1.2040740194889201,1.0663424168976214,0.6639162242370557,0.7847137909865343,0.968867408324792,0.6422404800967606,0.7435247095516313,0.9876651230658593,0.6473320951596543,0.7491881841936321,0.9707818318823357,0.7228300845066074,0.5204958897075114,-0.34648718723944005,17.440096456550535,10.919576168423761,-8.954528080941685,6.182694162911847,-28.73395363395005,5.716954621243339,2,0.06836448914750706,0.0362097205341834,0.01852602712106541,0.009224082455425178,0.004828857779130965,1.1813597880351432,0,2,4,12,0,0.0,9.650536225700854,1.107426560666101,2.8896650270658206,0.0,0.0,0.4305150631681244,0.19413092550790068,0.41197805263647325,0.3020219473635267,52.68498057209785,0.0,24.26546827384644,0.0,0.0,0.0,0.0,62.27405494024149,70.39600161060515,10.633577208012662,158.67307673650407,9.267633055878386,20.30613588023912,0.4144109363314106,0,0,0,0,1,0,1,0,1,0,1,0,0.850151171579743,0.7781327160493829,0.330188679245283,0.08032128514056228,0.04583668005354754,0.013079248793534507,0.010807398834019205,0.6125525854668734,1
129,0,10,10,8.409541764705882,9.381806471544715,7.138948529411764,6.963382352941176,6.830991608391608,179.49048039462394,151.22599418938384,176.2643986509935,168.76289612030874,1.3854352965576617,-0.10503564648180076,-0.4394495171862225,20.49463432973668,15.814371750000001,23.335443749999996,27.41199843749999,5.646477978515622,304.51761626673436,-48.3483064881672,98.56979930921315,0.021647426508713465,0.006672330155866941,-0.0007345150103622431,-0.0026633304071892274,0.1433191211869698,42.059511370869764,0.02204316630379094,0.037166119684938485,0.04628260638127559,-0.7110045071789294,0.8079491746656816,-0.8187845712741685,0.3082274076866002,-0.03393082360467135,-0.12303219535667165,0.021093471482391622,-0.0489809076018802,0.08920763124482767,0.10193213745232779,-0.024881166362209176,0.10805803944412395,0.1698054379005472,0.5752700397261999,1.0561228371830895,1.0462290324982808,0.6656520939780208,0.7781616118440227,0.989483283600367,0.5566468508300177,1.1348509853622495,1.0734389394727304,0.6658368710850499,1.0119500637134065,0.495360659708206,0.6309555896629853,1.0323398285494356,0.47873973248786644,0.6328437755811683,1.0111701291388198,0.4576069016176102,0.4028130437087453,0.47734269681027947,-0.34649062147223164,17.44058004329628,10.33936070009393,-7.546050999997334,5.353026030164946,-23.889268436153976,4.835747243670671,2,0.06864339313265402,0.04760379586496602,0.024863051048317236,0.013465476231838759,0.006742208051438357,1.1739152667446693,0,2,4,10,0,0.0,12.690398178449096,1.8033873816949084,3.024602193341371,0.0,0.0,0.4486772486772487,0.17452830188679244,0.4322560913446831,0.28174390865531684,0.0,0.0,63.12305629966478,9.79096695103555,0.0,0.0,0.0,48.446662393961994,42.30127849421927,0.0,129.48209748647076,10.570800098271558,16.63957885694131,0.36976841904314023,0,0,0,0,1,0,1,0,1,0,1,0,0.5861048122952885,0.6856327160493827,0.41836734693877553,0.08366013071895427,0.03755868544600939,0.008747833019332662,0.013712654320987656,0.704621617820676,1
130,0,0,0,7.719591999999998,7.647399612903223,6.4903534482758625,6.327068965517242,6.076356097560977,156.49599776480426,146.1710727792052,146.27994065221284,153.4594001518959,0.898407922422859,-0.03803922013419264,-0.3536664562457827,-0.35732012114232925,1.584539037037036,3.340992592592591,3.2856833333333317,-0.4285839506172799,94.9447571746488,5.23364744162808,6.329156509292268,0.016637183748571465,0.004312774059288058,-0.0003092619523105093,-0.0028293316499662614,-0.0029050416353034896,52.528673936701075,-0.004503820791691198,-0.0046789302861062,-0.003826642416225713,0.09023530071772552,0.056510325975823825,-0.6896980713860476,0.25922500613472943,-0.018588599908747405,-0.1700607321962889,0.02926164059228537,-0.02684121674638897,-0.1534871133286192,-0.07562490141699788,0.008305680928384077,-0.06289062867983483,0.0321403486985723,0.7664705183359285,1.160540005293455,1.1345876359199887,0.6996829720682297,1.1781574705517666,1.0123784610577478,0.9849406482974734,1.0055252635426974,1.0061430078694482,1.1743890745746504,1.24404497917539,1.3946089266733754,1.1036000260431396,1.1435107164870053,1.1976271368360574,1.1246953245423819,1.180879928579037,1.2242683264407557,1.0613124019470248,0.40990158732021076,-0.34666603832231535,14.549899828461768,10.312639696295662,-1.281465390874208,0.8791584343461313,-1.7426332288401247,0.9524469367486547,2,0.07311935003477524,0.04493721512709742,0.023782660345542807,0.011962389028969605,0.006303056626358363,1.1047097669590409,0,2,4,0,0,0.0,31.945693421161526,4.146290072094546,3.553843852355757,0.0,0.0,0.5050505050505051,0.09999999999999999,0.6501950585175555,0.06380494148244442,0.0,0.0,60.6636706846161,0.0,10.224873769449516,0.0,0.0,0.0,0.0,84.92913895846256,0.0,16.325845391519717,0.0,0.0,0,0,0,0,1,0,1,0,1,0,1,0,0.3563240110859159,0.30313271604938274,0.14864864864864863,0.05228758169934643,0.0344671201814059,0.007918311357464796,0.008420353223593965,0.346427349333578,0
131,0,0,0,8.02783909677419,7.92585353535353,6.815401612903226,6.682258064516129,6.364487022900765,159.40058351863678,149.84997064916297,147.78235838372922,154.9289820958046,1.291281430985894,-0.04085571285193319,-0.5409834541063231,16.02001167448771,4.9289524827586195,7.175641379310344,7.9103120689655135,1.5688413793103404,105.84301215119353,16.586961902202596,15.728781216740108,0.022263472948032655,0.0034351039371976824,-0.0003118756706254442,-0.0038367620858604473,0.12229016545410465,46.124436397746805,0.005802568370986935,0.008697829964328134,0.013524494649227073,0.26753164358391285,0.1355929415236216,-0.48781410844853396,0.15429326526081055,-0.014008401625093427,-0.1723343925189124,0.10000470024426973,-0.07598734122901943,0.06828001825833867,0.07030369987351809,-0.05639231010944569,0.09916431650436193,0.07430240739120321,0.8601488498837088,0.9703850535197744,0.9705757693811398,0.5960646093849713,1.0075228318443363,0.8029254307712989,0.27303361646553953,1.066537132789615,1.0429952446374378,0.7675931697001237,0.8989579275901284,0.5615061161977886,0.8108293465532993,0.9435422001532875,0.6573074568367311,0.8008706339255539,0.9164447082694781,0.6126220880164934,1.0248113608593106,0.46671753210498446,-0.3881213446919853,14.596935127290065,10.312639696295623,-3.5160925595931682,2.3933510820892674,-7.108173922560368,2.095482851177155,4,0.07152666016297655,0.04292753936806426,0.02268506217895633,0.01140125066400107,0.006175575010764371,1.1147941134048307,0,2,4,0,0,0.0,23.51214479916016,3.5738487360556968,3.443774981832341,0.0,0.0,0.48205128205128217,0.15957446808510636,0.5578635014836797,0.15613649851632028,0.0,0.0,24.26546827384644,0.0,10.224873769449516,0.0,11.374772549367124,9.846622097635342,9.846622097635342,36.39820241076966,0.0,36.76742977372622,0.0,0.0,0,0,0,0,1,0,1,0,1,0,1,0,0.43795666414714035,0.4456327160493827,0.19767441860465118,0.07285974499089257,0.03781544256120528,0.007962848439038914,0.01012801627384961,0.4354422967490602,1
132,0,6,6,8.038845375,8.331463809523804,6.8612421875,6.71828125,6.489124444444445,169.26435077451555,150.03721198418916,157.1158209737542,158.6999790507313,1.3955470802627135,0.11895881898843462,-0.34368753584129075,28.83790580704158,10.099802,15.470639999999994,17.969085,5.8328994999999795,233.44159962788473,-3.857148030043655,75.90425797228141,0.02325911800437856,0.0043770376234106845,0.0008811764369513676,-0.002306627757324099,0.2136141170891969,45.90173901839114,0.02330544067796615,0.037996508474576154,0.04943135169491508,-0.06026793796943211,0.6432564234939103,-0.7057563993305049,0.188185881450307,0.037885204279263084,-0.0991709039392583,0.11665749389167639,-0.02144539291188277,0.1384508766288655,0.14736239150252156,-0.0014475788091977454,0.16505465368408603,0.16533208079090106,0.6973891577208796,0.9734738779226368,0.946079837132548,0.5546511757999911,0.9242796859885961,0.8041374572457588,0.25414686672474146,1.1007630384642035,1.0253084162808581,0.5951482803912979,0.885305709637832,0.32766483937011825,0.5883314746154295,0.9210772371295622,0.3589476582739951,0.5821644353188944,0.8968225390876943,0.3250916782907976,0.5097063616612738,0.5069037947889017,-0.34666370595042567,17.433834729337814,10.312639696295443,-4.561423382678453,3.2206218489802767,-13.731861236021452,3.0746660978479032,2,0.0706064206434609,0.0424201156806031,0.022450823087598753,0.01122467992369607,0.006093887502233385,1.1420449677184445,0,2,4,6,0,0.0,20.102028257189698,3.1713583172540893,3.3520050093805507,0.0,0.0,0.472706155632985,0.17444717444717436,0.5111139017958056,0.20288609820419434,26.34249028604892,0.0,24.26546827384644,0.0,10.224873769449516,0.0,0.0,26.34249028604892,23.47950001828094,24.26546827384644,77.03912278085234,13.998874918458075,10.138503675621596,0.24728057745418527,0,0,0,0,1,0,1,0,1,0,1,0,0.48733938019652306,0.5256327160493828,0.25555555555555554,0.07960199004975127,0.03668430335097001,0.008259989494856321,0.011426798174986581,0.512856263317375,1
133,0,12,12,8.3033696,8.875207145299145,7.16855,7.042428571428572,6.834502040816325,179.7111850551884,153.24058446831862,165.72895661395387,163.11610943971885,1.8980615540162569,0.29888481662489086,-0.8133920898591309,58.50013533199562,16.914888666666663,24.971503030303026,29.590049999999984,19.786050000000003,354.5857054740116,-10.243390591283697,347.74774266024275,0.02875850839418571,0.005060438508217286,0.0020332300450672846,-0.004701688380688618,0.39796010429928996,40.25560247453567,0.06804566532797858,0.09120725602133052,0.11919307228915664,-0.1463341513040528,2.0948659196400166,-0.7029420400782741,0.17596317718760363,0.07070012175869161,-0.16348860365926307,0.34468676350857086,-0.015497307919727149,0.265506560530712,0.241061937285189,0.0015533696534570374,0.26585770456908125,0.38992308082869,0.6422305213040771,0.877082050026287,1.141936071287047,0.7787183509232579,0.961735422756544,0.6988699969267298,0.7986488226685073,1.2072989989426834,1.2220282289322781,0.6061850592798649,0.6719578172019105,0.8656333111545567,0.586034130323108,0.6463284027029115,0.9020645092596444,0.5872185592999081,0.6484485494279327,0.8761396165346448,0.6809477808746498,0.5197570624380663,-0.34665909626639296,17.440093189175784,10.312639696290947,-7.841381374482697,5.5620852636144225,-25.72108924320278,5.196885258947152,2,0.06836448914750706,0.03966135283122308,0.02012577481305264,0.010416084753812617,0.0056258990775608945,1.1725919501579563,0,2,4,12,0,0.0,11.285131067728539,1.831387256055367,3.0748502122510057,0.0,0.0,0.4509232264334305,0.23060344827586202,0.4401024376363461,0.27389756236365387,52.68498057209785,0.0,24.26546827384644,0.0,10.224873769449516,0.0,0.0,52.68498057209785,58.33377258592901,0.0,159.45432673650404,10.488578502493928,20.30613588023912,0.4144109363314106,0,0,0,0,1,0,1,0,1,0,1,0,0.8501511715797428,0.7781327160493829,0.330188679245283,0.08032128514056229,0.04583668005354753,0.013079248793534509,0.010807398834019205,0.6125525854668733,1
134,0,10,10,8.353248764705883,9.30940913821138,7.0744485294117645,6.8854411764705885,6.6916349650349645,177.04918418829894,150.1469792537368,174.72447412533498,161.91021119542756,1.1770163882659148,0.09091393091576863,-0.39864216063165764,54.667517149381155,14.838005437499996,22.348593749999996,26.344710937499986,10.861657275390602,319.87863893805195,-47.48536873979974,127.52702897830906,0.01839088106665492,0.003784501573180731,0.0006357617546557247,-0.002416013094737319,0.3822903297159521,45.02460076819275,0.04403358102266899,0.07016454437756142,0.08902997766713608,-0.6983142461735256,1.045303516215648,-0.7280870832593714,0.20578141740270015,0.03456940166985497,-0.1313701657892763,0.14965963268819654,-0.021711527235604284,0.1899277633588491,0.2009312483101507,0.008680723844138434,0.21628320706248827,0.20914002028987405,0.7035682733175008,1.0371991653507768,1.0081860791161563,0.6925079728833186,0.7781616118440227,0.8231202562487264,0.25585338512461014,1.1372894435414331,1.0261871997696297,0.604272033599578,0.9013711011453456,0.28092245411264993,0.5726943149348084,0.9408704742328585,0.29798585220147733,0.570559582467511,0.9139010125075508,0.2700329246784811,0.4205256461651009,0.47531047837122076,-0.3466619456980032,17.440577335885436,10.31263969628761,-6.432904293538346,4.732417130867522,-20.87640404540671,4.3156778813744845,2,0.06864339313265401,0.05146494385826467,0.026931876844586814,0.014514743889198078,0.007767685888993489,1.1648734339338205,0,2,4,10,0,0.0,14.597706550333168,2.5273480770841754,3.2097873785265563,0.0,0.0,0.4708994708994709,0.21348314606741572,0.46358995728721714,0.25041004271278283,0.0,0.0,63.12305629966478,9.79096695103555,10.224873769449516,0.0,0.0,38.85758802581836,30.239049469543126,0.0,130.0089603739642,12.401928482159095,16.63957885694131,0.36976841904314023,0,0,0,0,1,0,1,0,1,0,1,0,0.5861048122952883,0.6856327160493827,0.4183673469387754,0.08366013071895427,0.03755868544600938,0.008747833019332662,0.013712654320987658,0.7046216178206759,1
