,name,variance,MAE,MSE,RMSE,R2
0,LassoCV,0.83,0.9,1.37,1.1704699910719625,0.83
1,KNeighborsRegressor,0.84,0.84,1.34,1.1575836902790226,0.83
2,DecisionTreeRegressor,0.98,0.11,0.13,0.36055512754639896,0.98
3,SVR,0.72,1.02,2.26,1.5033296378372907,0.72
4,BayesianRegr,0.81,0.94,1.5,1.224744871391589,0.81
5,GaussianProcessRegressor,0.98,0.1,0.13,0.36055512754639896,0.98
6,RandomForestRegressor,0.84,0.86,1.26,1.1224972160321824,0.84
