,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,split2_train_roc_auc,split3_train_roc_auc,split4_train_roc_auc,mean_train_roc_auc,std_train_roc_auc,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,split4_train_precision,mean_train_precision,std_train_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,mean_train_recall,std_train_recall
0,0.022043418884277344,0.002136729085368989,0.03761892318725586,0.0017783282850800245,2,10,"{'max_depth': 2, 'n_estimators': 10}",0.5773524720893142,0.7543859649122806,0.68203125,0.9796875,0.69609375,0.737910187400319,0.13369934192828384,20,0.850161907565499,0.8729270925326269,0.8106508875739644,0.8560650887573965,0.8386587771203157,0.8456927507099605,0.020720410664778022,0.6363636363636364,0.7916666666666666,0.6041666666666666,0.6274509803921569,0.7333333333333333,0.678596256684492,0.07172205037504797,24,0.7329192546583851,0.7828947368421053,0.7168674698795181,0.6532663316582915,0.7894736842105263,0.7350842954497653,0.049547478745880995,0.8484848484848485,0.5757575757575758,0.90625,1.0,0.6875,0.8035984848484847,0.1526538649341668,1,0.9147286821705426,0.9224806201550387,0.9153846153846154,1.0,0.8076923076923077,0.9120572450805009,0.06124185336203309
1,0.03177733421325683,0.009356195278737434,0.038831138610839845,0.002844482170185922,2,20,"{'max_depth': 2, 'n_estimators': 20}",0.5853269537480064,0.722488038277512,0.6812499999999999,0.93359375,0.6562499999999999,0.7157817484051037,0.11767919657079179,23,0.845500932195074,0.8764596212344226,0.8154832347140041,0.864250493096647,0.8451183431952662,0.8493625248870827,0.02067189157696897,0.631578947368421,0.8076923076923077,0.62,0.6153846153846154,0.8,0.6949311740890689,0.08911831676186531,22,0.7350993377483444,0.7697368421052632,0.6976744186046512,0.675392670157068,0.782608695652174,0.7321023928535001,0.04093286730920085,0.7272727272727273,0.6363636363636364,0.96875,1.0,0.625,0.7914772727272728,0.16174331133104264,2,0.8604651162790697,0.9069767441860465,0.9230769230769231,0.9923076923076923,0.8307692307692308,0.9027191413237924,0.05553533503765882
2,0.059708166122436526,0.0069192171050385335,0.03696293830871582,0.003075748600421975,2,50,"{'max_depth': 2, 'n_estimators': 50}",0.7232854864433812,0.7288676236044657,0.6515625,0.9281250000000001,0.6335937500000001,0.7330868720095695,0.10459335078760827,22,0.8768030615248749,0.89127661662251,0.8422090729783037,0.8720414201183433,0.8738658777120316,0.8712392097912126,0.01601715260455817,0.8333333333333334,0.7307692307692307,0.6274509803921569,0.6153846153846154,0.75,0.7113876319758673,0.0812394683506578,20,0.7959183673469388,0.7631578947368421,0.6892655367231638,0.6598984771573604,0.7727272727272727,0.7361935097383157,0.05225326623416415,0.6060606060606061,0.5757575757575758,1.0,1.0,0.65625,0.7676136363636363,0.1914768043935165,4,0.9069767441860465,0.8992248062015504,0.9384615384615385,1.0,0.9153846153846154,0.9320095408467501,0.036447767257062
3,0.14222512245178223,0.02906163634058074,0.04908971786499024,0.013181665942408443,2,100,"{'max_depth': 2, 'n_estimators': 100}",0.7671451355661881,0.5917065390749602,0.6453125,0.9203125,0.6437499999999999,0.7136453349282296,0.11831935589353679,24,0.8726327151408106,0.8964772838779316,0.8430473372781064,0.8641518737672583,0.8782544378698225,0.8709127295867859,0.01750768246715281,0.7333333333333333,0.7037037037037037,0.6274509803921569,0.6153846153846154,0.7692307692307693,0.6898206804089158,0.059703867150296845,23,0.7682119205298014,0.7905405405405406,0.7028571428571428,0.6598984771573604,0.7707006369426752,0.7384417436055041,0.04914568707482983,0.6666666666666666,0.5757575757575758,1.0,1.0,0.625,0.7734848484848484,0.18717487882113878,3,0.8992248062015504,0.9069767441860465,0.9461538461538461,1.0,0.9307692307692308,0.9366249254621348,0.035830917198004096
4,0.020569372177124023,0.0031118971719599846,0.03628020286560059,0.0006339390933109141,3,10,"{'max_depth': 3, 'n_estimators': 10}",0.657097288676236,0.7416267942583732,0.71328125,0.9546875,0.6046875,0.7342760665869218,0.11985472527177737,21,0.9014816995388086,0.9299872436463548,0.8731755424063117,0.885009861932939,0.8992110453648916,0.8977730785778611,0.019086710213175238,0.68,0.9,0.6041666666666666,0.6274509803921569,0.68,0.6983235294117647,0.10510312579145391,21,0.785234899328859,0.875968992248062,0.7484662576687117,0.7619047619047619,0.8524590163934426,0.8048067855087675,0.05046323852379379,0.5151515151515151,0.5454545454545454,0.90625,1.0,0.53125,0.6996212121212121,0.2093170645074864,19,0.9069767441860465,0.875968992248062,0.9384615384615385,0.9846153846153847,0.8,0.9012045319022063,0.062061200539357826
5,0.0329399585723877,0.0063170099616040015,0.041089200973510744,0.00436511901725729,3,20,"{'max_depth': 3, 'n_estimators': 20}",0.7432216905901116,0.8221690590111643,0.7453125,0.946875,0.6484375,0.7812031499202552,0.09948147105846747,11,0.9071239328819547,0.9282209792954568,0.8813609467455622,0.8884615384615384,0.9050295857988166,0.9020393966366658,0.016323146345585224,0.76,0.8947368421052632,0.5957446808510638,0.6274509803921569,0.8095238095238095,0.7374912625744587,0.1119128772711243,17,0.8194444444444444,0.8846153846153846,0.7333333333333333,0.75,0.8527131782945736,0.8080212681375472,0.058205274041190386,0.5757575757575758,0.5151515151515151,0.875,1.0,0.53125,0.6994318181818182,0.19935149393948493,20,0.9147286821705426,0.8914728682170543,0.9307692307692308,0.9692307692307692,0.8461538461538461,0.9104710793082885,0.040940155837417384
6,0.05553913116455078,0.00422501701660418,0.0362886905670166,0.0009157016508745984,3,50,"{'max_depth': 3, 'n_estimators': 50}",0.7799043062200957,0.7767145135566189,0.7015625000000001,0.9453125,0.6734374999999999,0.7753862639553429,0.09459450432849714,15,0.9047198508487881,0.9384260622117555,0.8960552268244575,0.8993096646942801,0.9166666666666666,0.9110354942491895,0.015386644588964875,0.9090909090909091,0.9,0.6041666666666666,0.6153846153846154,0.75,0.7557284382284382,0.13193521532854358,15,0.8226950354609929,0.8769230769230769,0.7701863354037267,0.7636363636363637,0.8661417322834646,0.8199165087415249,0.04697826133721104,0.6060606060606061,0.5454545454545454,0.90625,1.0,0.65625,0.7428030303030303,0.17776475198348582,5,0.8992248062015504,0.8837209302325582,0.9538461538461539,0.9692307692307692,0.8461538461538461,0.9104353011329757,0.04541552039902297
7,0.0900360107421875,0.005823386999757567,0.0390507698059082,0.005813626282809553,3,100,"{'max_depth': 3, 'n_estimators': 100}",0.8118022328548644,0.6475279106858054,0.6953125,0.9359375,0.684375,0.7549910287081338,0.10589203031761746,19,0.9059464233146894,0.9404376410558336,0.894181459566075,0.9125246548323472,0.9164201183431954,0.9139020594224283,0.01526151474349456,0.9090909090909091,0.9,0.5957446808510638,0.6153846153846154,0.7916666666666666,0.7623773743986509,0.13468187461002254,12,0.8057553956834532,0.8692307692307693,0.7515527950310559,0.7682926829268293,0.872,0.8133663285744215,0.04993839387733975,0.6060606060606061,0.5454545454545454,0.875,1.0,0.59375,0.7240530303030303,0.17985006445401644,9,0.8682170542635659,0.875968992248062,0.9307692307692308,0.9692307692307692,0.8384615384615385,0.8965295169946332,0.04701925335592013
8,0.018131208419799805,0.001063919804693509,0.035019636154174805,0.0014733916651905536,4,10,"{'max_depth': 4, 'n_estimators': 10}",0.7799043062200958,0.7272727272727273,0.6875,0.9406249999999999,0.66953125,0.7609666566985646,0.09749750664705914,18,0.9347954077126877,0.9392601314885684,0.926232741617357,0.9223372781065089,0.9231755424063117,0.9291602202662868,0.006703768854865641,0.75,0.8888888888888888,0.5869565217391305,0.6274509803921569,0.8076923076923077,0.7321977397424968,0.11192440438306632,19,0.8231292517006803,0.8633093525179856,0.7861635220125787,0.7834394904458599,0.8503937007874016,0.8212870634929011,0.032504045036165184,0.7272727272727273,0.48484848484848486,0.84375,1.0,0.65625,0.7424242424242424,0.1735586468018985,6,0.937984496124031,0.9302325581395349,0.9615384615384616,0.9461538461538461,0.8307692307692308,0.9213357185450208,0.046456052910019745
9,0.020348310470581055,0.0006860718218045311,0.0356651782989502,0.0002731572221750715,4,20,"{'max_depth': 4, 'n_estimators': 20}",0.7719298245614036,0.6874003189792663,0.70625,0.9453125,0.7132812500000001,0.7648347787081341,0.0945606532659409,17,0.9297419291531743,0.9526543028162104,0.9316568047337279,0.9298816568047338,0.9344674556213018,0.9356804298258297,0.008656382482140403,0.75,0.9375,0.5869565217391305,0.6274509803921569,0.76,0.7323815004262574,0.12272377958170644,18,0.8421052631578947,0.8939393939393939,0.810126582278481,0.8187919463087249,0.873015873015873,0.8475958117400735,0.03180458794041057,0.5454545454545454,0.45454545454545453,0.84375,1.0,0.59375,0.6875,0.20263469910405704,23,0.8682170542635659,0.9147286821705426,0.9846153846153847,0.9384615384615385,0.8461538461538461,0.9104353011329754,0.04943900020823261
