,0,1,2,3,4
0,4.0,1.0,1.0,0.29641987916907053,0.7035801208309295
1,7.0,0.0,1.0,0.3499606839432453,0.6500393160567547
2,14.0,0.0,0.0,0.6803726202553745,0.3196273797446255
3,17.0,0.0,0.0,0.5837700179698775,0.41622998203012246
4,33.0,1.0,1.0,0.002341386736304907,0.9976586132636951
5,47.0,1.0,1.0,0.00296285576615829,0.9970371442338417
6,60.0,1.0,1.0,0.0035415168384281825,0.9964584831615718
7,66.0,1.0,0.0,0.5919839211241726,0.4080160788758273
8,86.0,0.0,0.0,0.9878906967957023,0.012109303204297676
9,94.0,0.0,0.0,0.9229815789294036,0.07701842107059644
10,103.0,0.0,0.0,0.9223752183689209,0.07762478163107915
11,107.0,1.0,1.0,0.12406023643924347,0.8759397635607565
12,109.0,1.0,0.0,0.7940193625219036,0.20598063747809633
13,120.0,1.0,1.0,0.22299743041153386,0.7770025695884661
14,146.0,1.0,1.0,0.4489407986427415,0.5510592013572585
15,161.0,0.0,0.0,0.5434104903974163,0.4565895096025837
16,173.0,0.0,1.0,0.3121323026965611,0.6878676973034389
17,200.0,1.0,1.0,0.21889982783999695,0.781100172160003
18,208.0,1.0,0.0,0.6708963080463831,0.3291036919536169
19,223.0,0.0,0.0,0.6976494284008881,0.302350571599112
20,227.0,1.0,0.0,0.5619933473725027,0.4380066526274973
21,237.0,1.0,1.0,0.3891486431458858,0.6108513568541142
22,253.0,1.0,1.0,0.3397975658023341,0.6602024341976659
23,255.0,1.0,1.0,0.02158130599671859,0.9784186940032814
24,259.0,0.0,1.0,0.3937304838209975,0.6062695161790025
25,260.0,1.0,1.0,0.21383970413358844,0.7861602958664116
26,264.0,1.0,1.0,0.021692751918467756,0.9783072480815322
27,275.0,0.0,1.0,0.4345065880177831,0.5654934119822169
28,295.0,1.0,1.0,0.18484473474016117,0.8151552652598388
29,298.0,1.0,1.0,0.1493429644666313,0.8506570355333687
30,307.0,0.0,0.0,0.9377336278943909,0.0622663721056092
31,310.0,0.0,0.0,0.9938689954651931,0.00613100453480682
32,311.0,0.0,0.0,0.9398250302102157,0.06017496978978436
33,330.0,0.0,0.0,0.638511769548893,0.361488230451107
34,339.0,0.0,0.0,0.9377336278943907,0.0622663721056093
