,feature,importance,importance_std,abs_importance
0,$\Delta t$,0.053728070175438604,0.015506727657599747,0.053728070175438604
1,fp_79,0.030701754385964935,0.012692803621480493,0.030701754385964935
2,fp_42,0.02083333333333341,0.010168441332780376,0.02083333333333341
3,fp_155,-0.020833333333333332,0.0015506727657599645,0.020833333333333332
4,fp_111,-0.019736842105263126,0.005371688032419266,0.019736842105263126
5,fp_160,-0.019736842105263126,0.002685844016209656,0.019736842105263126
6,fp_90,0.01864035087719303,0.009432374196318663,0.01864035087719303
7,fp_154,0.01864035087719303,0.006759225880448445,0.01864035087719303
8,fp_49,0.01754385964912286,0.0041026945030416305,0.01754385964912286
9,fp_108,-0.01754385964912275,0.0041026945030416305,0.01754385964912275
10,fp_145,0.016447368421052728,0.009304036594559839,0.016447368421052728
11,fp_11,0.016447368421052655,0.002685844016209611,0.016447368421052655
12,fp_54,-0.016447368421052582,0.004652018297279945,0.016447368421052582
13,fp_138,0.013157894736842146,0.004652018297279893,0.013157894736842146
14,fp_150,-0.013157894736842072,0.011707322644771164,0.013157894736842072
15,fp_115,0.012061403508771976,0.003101345531519929,0.012061403508771976
16,fp_37,0.010964912280701844,0.008633780563609446,0.010964912280701844
17,fp_153,-0.010964912280701733,0.011182060336826274,0.010964912280701733
18,fp_141,0.009868421052631637,0.0,0.009868421052631637
19,fp_149,0.009868421052631637,0.0071060753272015635,0.009868421052631637
20,fp_125,0.009868421052631601,0.007106075327201615,0.009868421052631601
21,fp_152,-0.009868421052631526,0.0,0.009868421052631526
22,fp_148,-0.008771929824561356,0.003101345531519929,0.008771929824561356
23,fp_41,0.007675438596491298,0.003101345531519929,0.007675438596491298
24,fp_140,0.0076754385964912615,0.005591030168413162,0.0076754385964912615
25,fp_95,-0.007675438596491187,0.004102694503041581,0.007675438596491187
26,fp_43,-0.007675438596491187,0.006759225880448403,0.007675438596491187
27,fp_114,0.006578947368421129,0.002685844016209611,0.006578947368421129
28,fp_164,0.006578947368421129,0.002685844016209611,0.006578947368421129
29,fp_135,0.006578947368421129,0.002685844016209611,0.006578947368421129
30,fp_88,-0.006578947368421018,0.004652018297279893,0.006578947368421018
31,[Cl$^{-}]$,0.005482456140350959,0.0015506727657599642,0.005482456140350959
32,fp_133,0.005482456140350959,0.0015506727657599642,0.005482456140350959
33,fp_119,0.005482456140350922,0.005591030168413148,0.005482456140350922
34,fp_78,0.005482456140350922,0.005591030168413148,0.005482456140350922
35,fp_130,-0.005482456140350848,0.003101345531519929,0.005482456140350848
36,fp_96,-0.005482456140350811,0.008633780563609448,0.005482456140350811
37,fp_83,-0.005482456140350811,0.008633780563609448,0.005482456140350811
38,fp_137,-0.004385964912280678,0.004102694503041581,0.004385964912280678
39,fp_122,-0.004385964912280678,0.0015506727657599645,0.004385964912280678
40,fp_81,-0.004385964912280678,0.004102694503041581,0.004385964912280678
41,fp_129,-0.004385964912280678,0.0015506727657599645,0.004385964912280678
42,fp_65,-0.004385964912280678,0.0015506727657599645,0.004385964912280678
43,fp_93,-0.004385964912280678,0.004102694503041581,0.004385964912280678
44,fp_100,0.003289473684210583,0.014212150654403231,0.003289473684210583
45,fp_74,-0.003289473684210509,0.004652018297279893,0.003289473684210509
46,fp_47,-0.003289473684210509,0.0,0.003289473684210509
47,fp_92,-0.003289473684210509,0.0,0.003289473684210509
48,fp_31,-0.003289473684210509,0.0,0.003289473684210509
49,fp_85,-0.003289473684210509,0.0,0.003289473684210509
50,fp_101,-0.003289473684210472,0.004652018297279945,0.003289473684210472
51,fp_120,-0.003289473684210472,0.008057532048628878,0.003289473684210472
52,fp_80,0.002192982456140413,0.0015506727657600167,0.002192982456140413
53,fp_73,0.0021929824561403763,0.0031013455315199805,0.0021929824561403763
54,fp_71,-0.002192982456140339,0.003101345531519929,0.002192982456140339
55,fp_24,-0.002192982456140339,0.003101345531519929,0.002192982456140339
56,fp_112,-0.002192982456140339,0.003101345531519929,0.002192982456140339
57,fp_128,-0.002192982456140339,0.003101345531519929,0.002192982456140339
58,fp_144,-0.002192982456140339,0.0015506727657599645,0.002192982456140339
59,fp_63,-0.002192982456140339,0.003101345531519929,0.002192982456140339
60,fp_56,-0.002192982456140339,0.003101345531519929,0.002192982456140339
61,fp_66,-0.002192982456140339,0.003101345531519929,0.002192982456140339
62,fp_105,-0.002192982456140302,0.008633780563609446,0.002192982456140302
63,fp_62,-0.002192982456140302,0.006759225880448451,0.002192982456140302
64,fp_91,0.0010964912280702437,0.005591030168413162,0.0010964912280702437
65,fp_116,0.0010964912280702066,0.0015506727657600167,0.0010964912280702066
66,fp_36,0.0010964912280702066,0.0015506727657600167,0.0010964912280702066
67,fp_59,0.0010964912280702066,0.0015506727657600167,0.0010964912280702066
68,fp_118,-0.0010964912280701695,0.0015506727657599645,0.0010964912280701695
69,fp_38,-0.0010964912280701695,0.0015506727657599645,0.0010964912280701695
70,fp_27,-0.0010964912280701695,0.0015506727657599645,0.0010964912280701695
71,fp_126,-0.0010964912280701695,0.0015506727657599645,0.0010964912280701695
72,fp_102,-0.0010964912280701695,0.0015506727657599645,0.0010964912280701695
73,fp_82,-0.0010964912280701695,0.0015506727657599645,0.0010964912280701695
74,fp_147,-0.0010964912280701695,0.0015506727657599645,0.0010964912280701695
75,fp_46,-0.0010964912280701695,0.0015506727657599645,0.0010964912280701695
76,fp_157,-0.0010964912280701695,0.0015506727657599645,0.0010964912280701695
77,fp_106,-0.0010964912280701695,0.0015506727657599645,0.0010964912280701695
78,fp_70,-0.0010964912280701695,0.0015506727657599645,0.0010964912280701695
79,fp_94,-0.0010964912280701695,0.0015506727657599645,0.0010964912280701695
80,fp_134,-0.0010964912280701327,0.006759225880448446,0.0010964912280701327
81,fp_107,-0.0010964912280701327,0.006759225880448446,0.0010964912280701327
82,fp_45,7.401486830834377e-17,0.007106075327201615,7.401486830834377e-17
83,fp_117,7.401486830834377e-17,0.004652018297279945,7.401486830834377e-17
84,fp_99,7.401486830834377e-17,0.007106075327201615,7.401486830834377e-17
85,fp_110,7.401486830834377e-17,0.004652018297279945,7.401486830834377e-17
86,fp_76,7.401486830834377e-17,0.007106075327201615,7.401486830834377e-17
87,fp_136,3.700743415417188e-17,0.002685844016209656,3.700743415417188e-17
88,fp_163,3.700743415417188e-17,0.002685844016209656,3.700743415417188e-17
89,fp_104,3.700743415417188e-17,0.002685844016209656,3.700743415417188e-17
90,fp_64,3.700743415417188e-17,0.002685844016209656,3.700743415417188e-17
91,fp_52,3.700743415417188e-17,0.002685844016209656,3.700743415417188e-17
92,fp_113,3.700743415417188e-17,0.002685844016209656,3.700743415417188e-17
93,fp_87,3.700743415417188e-17,0.002685844016209656,3.700743415417188e-17
94,fp_127,0.0,0.0,0.0
95,fp_159,0.0,0.0,0.0
96,fp_67,0.0,0.0,0.0
97,fp_61,0.0,0.0,0.0
98,fp_156,0.0,0.0,0.0
99,fp_60,0.0,0.0,0.0
100,fp_158,0.0,0.0,0.0
101,fp_58,0.0,0.0,0.0
102,fp_151,0.0,0.0,0.0
103,fp_161,0.0,0.0,0.0
104,fp_162,0.0,0.0,0.0
105,fp_55,0.0,0.0,0.0
106,fp_165,0.0,0.0,0.0
107,fp_51,0.0,0.0,0.0
108,fp_50,0.0,0.0,0.0
109,fp_69,0.0,0.0,0.0
110,fp_75,0.0,0.0,0.0
111,fp_72,0.0,0.0,0.0
112,fp_131,0.0,0.0,0.0
113,fp_132,0.0,0.0,0.0
114,fp_124,0.0,0.0,0.0
115,fp_123,0.0,0.0,0.0
116,fp_121,0.0,0.0,0.0
117,fp_109,0.0,0.0,0.0
118,fp_103,0.0,0.0,0.0
119,fp_139,0.0,0.0,0.0
120,fp_98,0.0,0.0,0.0
121,fp_97,0.0,0.0,0.0
122,fp_142,0.0,0.0,0.0
123,fp_143,0.0,0.0,0.0
124,fp_89,0.0,0.0,0.0
125,fp_146,0.0,0.0,0.0
126,fp_86,0.0,0.0,0.0
127,fp_77,0.0,0.0,0.0
128,assay_ph,0.0,0.0,0.0
