,name,variance,MAE,MSE,RMSE,R2
0,LassoCV,0.82,0.93,1.45,1.2041594578792296,0.82
1,KNeighborsRegressor,0.88,0.69,1.04,1.019803902718557,0.87
2,DecisionTreeRegressor,0.68,1.18,2.58,1.606237840420901,0.68
3,SVR,0.89,0.57,0.86,0.9273618495495703,0.89
4,BayesianRegr,0.89,0.69,0.9,0.9486832980505138,0.89
5,GaussianProcessRegressor,0.97,0.2,0.22,0.469041575982343,0.97
6,RandomForestRegressor,0.97,0.29,0.26,0.5099019513592785,0.97
