,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,params,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,split2_train_roc_auc,split3_train_roc_auc,split4_train_roc_auc,mean_train_roc_auc,std_train_roc_auc,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,split4_train_precision,mean_train_precision,std_train_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,mean_train_recall,std_train_recall
0,0.9351494789123536,1.4658020136296797,0.009607744216918946,0.0023846021021725014,0.75,l2,"{'C': 0.75, 'penalty': 'l2'}",0.7974481658692185,0.6220095693779906,0.7625000000000001,0.94375,0.6578124999999999,0.7567040470494418,0.11366794200407136,4,0.910214895496026,0.9355313511922284,0.922189349112426,0.8877712031558186,0.9282051282051282,0.9167823854323254,0.016709390455080395,0.8095238095238095,0.75,0.6410256410256411,0.7560975609756098,0.6904761904761905,0.7294246404002502,0.05810685303969257,3,0.875968992248062,0.8666666666666667,0.8814814814814815,0.8296296296296296,0.8943089430894309,0.8696111426230541,0.02190205407831047,0.5151515151515151,0.5454545454545454,0.78125,0.96875,0.90625,0.7433712121212122,0.18439909824460957,4,0.875968992248062,0.9069767441860465,0.9153846153846154,0.8615384615384616,0.8461538461538461,0.8812045319022064,0.02636361433233291
1,0.17111420631408691,0.17910909184364282,0.010281133651733398,0.0014435944991141253,1.0,l2,"{'C': 1.0, 'penalty': 'l2'}",0.8405103668261563,0.6283891547049443,0.7734375,0.9375,0.6812499999999999,0.7722174043062201,0.11040415556681112,2,0.9066823667942302,0.9188499656559709,0.9071005917159763,0.8824457593688363,0.9242603550295858,0.9078678077129199,0.014405539442741064,0.9545454545454546,0.75,0.6578947368421053,0.7560975609756098,0.6590909090909091,0.7555257322908158,0.10813990655591624,1,0.873015873015873,0.8571428571428571,0.8671328671328671,0.8235294117647058,0.8943089430894309,0.8630259904291468,0.02319430232174416,0.6363636363636364,0.5454545454545454,0.78125,0.96875,0.90625,0.7676136363636363,0.15902393070601067,1,0.8527131782945736,0.8837209302325582,0.9538461538461539,0.8615384615384616,0.8461538461538461,0.8795945140131186,0.03923579701386405
2,0.025875425338745116,0.001131350925956848,0.009050750732421875,0.00045384066155060895,1.25,l2,"{'C': 1.25, 'penalty': 'l2'}",0.8277511961722488,0.6539074960127592,0.7750000000000001,0.9359375000000001,0.6875,0.7760192384370016,0.100993086783993,1,0.8910803650279658,0.9237562555195761,0.9012820512820512,0.9021696252465484,0.9235700197238659,0.9083716633600016,0.013079698668268035,0.9047619047619048,0.75,0.6578947368421053,0.7045454545454546,0.6511627906976745,0.7336729773694278,0.09266787789970468,2,0.8484848484848485,0.8692307692307693,0.8380281690140845,0.8308823529411765,0.8951612903225806,0.856357485998692,0.023316866590623337,0.5757575757575758,0.5454545454545454,0.78125,0.96875,0.875,0.7492424242424243,0.165317585740865,3,0.8682170542635659,0.875968992248062,0.9153846153846154,0.8692307692307693,0.8538461538461538,0.8765295169946332,0.02072166295541165
3,0.11859264373779296,0.1864139316299574,0.008753299713134766,0.0005827112203424615,1.5,l2,"{'C': 1.5, 'penalty': 'l2'}",0.8133971291866029,0.6267942583732058,0.7781250000000001,0.9375,0.6859375,0.7683507775119618,0.10729992088878126,3,0.9092336375233049,0.9223824943577666,0.9058185404339251,0.9110453648915189,0.9240631163708087,0.9145086307154647,0.007329711552874266,0.8,0.75,0.625,0.6888888888888889,0.6511627906976745,0.7030103359173128,0.06416886969689789,4,0.8709677419354839,0.8582089552238806,0.8541666666666666,0.8581560283687943,0.8823529411764706,0.864770466674259,0.010457479921047615,0.6060606060606061,0.5454545454545454,0.78125,0.96875,0.875,0.7553030303030303,0.1592921256376927,2,0.8372093023255814,0.8914728682170543,0.9461538461538461,0.9307692307692308,0.9230769230769231,0.9057364341085272,0.038627238485550296
