,feature,importance,importance_std,abs_importance
0,$\Delta t$,0.09736842105263152,0.0073848501054748685,0.09736842105263152
1,[Cl$^{-}]$,0.07039473684210525,0.009442565851583758,0.07039473684210525
2,urea,0.03223684210526312,0.005659424517791213,0.03223684210526312
3,indole,0.0322368421052631,0.005659424517791172,0.0322368421052631
4,NdO_0,0.030921052631578894,0.004462059199424494,0.030921052631578894
5,NdO_2,0.030921052631578894,0.004923233403649897,0.030921052631578894
6,nS_1,0.03026315789473679,0.006378526128179346,0.03026315789473679
7,nS_0,0.03026315789473679,0.004834519229177299,0.03026315789473679
8,thiourea,0.02631578947368416,0.005504342279829455,0.02631578947368416
9,NdssC_2,0.024342105263157877,0.003354618101047867,0.024342105263157877
10,BCUTi-1l,0.02302631578947365,0.004652018297279925,0.02302631578947365
11,nBondsD_2,0.02302631578947365,0.004652018297279925,0.02302631578947365
12,nS_2,0.017105263157894714,0.003836152562398249,0.017105263157894714
13,EState_VSA3,0.016447368421052565,0.005096030718693986,0.016447368421052565
14,NssO_0,0.01447368421052626,0.0049232334036499355,0.01447368421052626
15,AXp-5d,0.01381578947368416,0.004363979987309743,0.01381578947368416
16,GATS1s,0.01381578947368416,0.004834519229177327,0.01381578947368416
17,NssNH_2,0.01381578947368416,0.004834519229177341,0.01381578947368416
18,NssO_1,0.01381578947368416,0.005659424517791208,0.01381578947368416
19,nARing_1,0.010526315789473628,0.004834519229177299,0.010526315789473628
20,nFHRing_0,0.010526315789473628,0.0038361525623982038,0.010526315789473628
21,MATS4c,0.010526315789473628,0.004363979987309713,0.010526315789473628
22,nARing_0,0.010526315789473628,0.004834519229177299,0.010526315789473628
23,nFRing_0,0.010526315789473628,0.0038361525623982038,0.010526315789473628
24,GATS5c,0.009868421052631526,0.0036034378783234423,0.009868421052631526
25,NdO_1,0.009868421052631526,0.002080445829058133,0.009868421052631526
26,BCUTc-1h,0.008552631578947322,0.002631578947368407,0.008552631578947322
27,BCUTp-1h,0.007894736842105222,0.002631578947368407,0.007894736842105222
28,MATS6s,0.007894736842105222,0.003354618101047867,0.007894736842105222
29,NssNH_4,0.007894736842105222,0.004462059199424494,0.007894736842105222
30,PEOE_VSA13,0.00723684210526312,0.0024616167018249487,0.00723684210526312
31,NdssC_0,0.00723684210526312,0.004834519229177299,0.00723684210526312
32,nBondsD_1,0.00723684210526312,0.005263157894736813,0.00723684210526312
33,GATS3c,0.00723684210526312,0.005263157894736814,0.00723684210526312
34,GATS4v,0.006578947368421018,0.002080445829058133,0.006578947368421018
35,SpMax_A,0.006578947368421018,0.0050960307186939426,0.006578947368421018
36,NaaNH_0,0.0059210526315789155,0.0038361525623982038,0.0059210526315789155
37,PEOE_VSA10,0.0059210526315789155,0.004363979987309714,0.0059210526315789155
38,NdssC_3,0.0059210526315789155,0.0024616167018249487,0.0059210526315789155
39,nFHRing_1,0.0059210526315789155,0.004363979987309714,0.0059210526315789155
40,nBondsD_3,0.0059210526315789155,0.0024616167018249487,0.0059210526315789155
41,nFRing_1,0.0059210526315789155,0.004363979987309714,0.0059210526315789155
42,GATS1c,0.0059210526315789155,0.004363979987309714,0.0059210526315789155
43,MATS6d,0.005263157894736814,0.003947368421052611,0.005263157894736814
44,TopoPSA,0.005263157894736814,0.002631578947368407,0.005263157894736814
45,nBase_0,0.005263157894736814,0.004462059199424495,0.005263157894736814
46,BCUTc-1l,0.005263157894736814,0.003354618101047867,0.005263157894736814
47,nBase_1,0.005263157894736814,0.004462059199424495,0.005263157894736814
48,n5Ring_2,0.005263157894736792,0.006773440882228281,0.005263157894736792
49,n5HRing_2,0.005263157894736792,0.006773440882228281,0.005263157894736792
50,AATSC5c,0.004605263157894712,0.003947368421052611,0.004605263157894712
51,MATS3c,0.004605263157894712,0.003354618101047867,0.004605263157894712
52,GATS5se,0.004605263157894712,0.0016115064097257665,0.004605263157894712
53,squaramide,0.004605263157894712,0.0016115064097257665,0.004605263157894712
54,nBondsD_5,0.004605263157894712,0.0016115064097257665,0.004605263157894712
55,AATSC2p,0.0046052631578946904,0.0070857431672822395,0.0046052631578946904
56,MATS7v,0.003947368421052611,0.0038361525623982033,0.003947368421052611
57,SRW05,0.003947368421052611,0.0038361525623982033,0.003947368421052611
58,VSA_EState3,0.003947368421052611,0.003223012819451533,0.003947368421052611
59,AATSC4c,0.003947368421052611,0.003223012819451533,0.003947368421052611
60,isophthalamides_dipicolineamides,0.003947368421052611,0.0013157894736842036,0.003947368421052611
61,AATSC2c,0.003947368421052611,0.0013157894736842036,0.003947368421052611
62,n5HRing_0,0.003947368421052611,0.0038361525623982038,0.003947368421052611
63,GATS2s,0.003947368421052611,0.0024616167018249482,0.003947368421052611
64,NdO_5,0.003947368421052611,0.0013157894736842036,0.003947368421052611
65,SdO,0.003947368421052611,0.0024616167018249487,0.003947368421052611
66,n5Ring_0,0.003947368421052611,0.0038361525623982038,0.003947368421052611
67,AATSC2se,0.003947368421052611,0.0013157894736842036,0.003947368421052611
68,n5HRing_1,0.003289473684210509,0.0,0.003289473684210509
69,GATS2are,0.003289473684210509,0.002080445829058133,0.003289473684210509
70,nAHRing_1,0.003289473684210509,0.002080445829058133,0.003289473684210509
71,nAHRing_0,0.003289473684210509,0.002080445829058133,0.003289473684210509
72,AATSC6d,0.003289473684210509,0.002080445829058133,0.003289473684210509
73,NdsCH_0,0.003289473684210509,0.0036034378783234423,0.003289473684210509
74,n5Ring_1,0.003289473684210509,0.0,0.003289473684210509
75,SaaNH,0.003289473684210509,0.0036034378783234423,0.003289473684210509
