,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_coef0,param_degree,param_gamma,param_kernel,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_train_r2,split1_train_r2,split2_train_r2,split3_train_r2,split4_train_r2,mean_train_r2,std_train_r2,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error,split0_train_neg_root_mean_squared_error,split1_train_neg_root_mean_squared_error,split2_train_neg_root_mean_squared_error,split3_train_neg_root_mean_squared_error,split4_train_neg_root_mean_squared_error,mean_train_neg_root_mean_squared_error,std_train_neg_root_mean_squared_error
0,0.0484217643737793,0.031877566629818575,0.0038807868957519533,0.0005911914585104165,100,0,2,auto,linear,"{'C': 100, 'coef0': 0, 'degree': 2, 'gamma': 'auto', 'kernel': 'linear'}",0.5182383948200304,-0.3125733194130629,0.5847298039608986,-1.507529683788396,-0.9796039992651449,-0.33934776073713496,0.8203252143884839,3,0.9262508167826538,0.9118639078530816,0.9356331251334121,0.9117029115854344,0.8796399698251067,0.9130181462359378,0.018993186195444073,-2.017476492427038,-1.8980436906694858,-1.693489097161021,-1.722521075235549,-2.6337761850939305,-1.993061308117405,0.34148953999045467,2,-0.7039383006673271,-0.9033716968887537,-0.7266363568736812,-0.9118088166732721,-0.7922027956089408,-0.8075915933423949,0.08668290300159419
1,0.00879826545715332,0.0012395124117236926,0.0034163475036621095,0.00028242978336266684,100,0,2,auto,poly,"{'C': 100, 'coef0': 0, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",0.4695547323530541,-0.8679236474526486,0.690476330843212,-9.319177426016743,-0.652172725069327,-1.9358485470684907,3.74126662623518,22,0.946317292470364,0.926643889304641,0.9528234968911983,0.9305201261032009,0.8958715019049475,0.9304352613348703,0.019811648967940593,-2.1169601362631796,-2.2642479289176665,-1.4620558269901627,-3.4943310128999205,-2.4061208104138605,-2.348743143096958,0.6576839612104285,20,-0.6005832197480535,-0.8241527898834123,-0.6220836470084901,-0.8088353179285929,-0.7368515965666839,-0.7185013142270466,0.09258535840238247
2,0.003765296936035156,0.00016373586818455694,0.0031026363372802734,0.0002346620545720254,100,0,2,auto,rbf,"{'C': 100, 'coef0': 0, 'degree': 2, 'gamma': 'auto', 'kernel': 'rbf'}",0.33320179130810135,0.039497008625779206,0.69196114109878,-0.6167794427275843,-3.6767844391555995,-0.6457807881701048,1.5751438175196661,16,0.9586262310719481,0.9378043114932236,0.9642953434407828,0.9379360962056077,0.9113640392244194,0.9420052042871963,0.0186879371366458,-2.373502003610049,-1.6236550960160823,-1.4585448108181314,-1.383142391513938,-4.048213246697379,-2.177411509731116,0.9992626831334941,15,-0.5272523575593633,-0.7588740888396008,-0.5411882288134237,-0.7644518575458642,-0.6798298113456853,-0.6543192688207874,0.1026219444553984
3,0.04314632415771484,0.026197020199452657,0.003315258026123047,0.00020279018209597082,100,0,2,scale,linear,"{'C': 100, 'coef0': 0, 'degree': 2, 'gamma': 'scale', 'kernel': 'linear'}",0.5182383948200304,-0.3125733194130629,0.5847298039608986,-1.507529683788396,-0.9796039992651449,-0.33934776073713496,0.8203252143884839,3,0.9262508167826538,0.9118639078530816,0.9356331251334121,0.9117029115854344,0.8796399698251067,0.9130181462359378,0.018993186195444073,-2.017476492427038,-1.8980436906694858,-1.693489097161021,-1.722521075235549,-2.6337761850939305,-1.993061308117405,0.34148953999045467,2,-0.7039383006673271,-0.9033716968887537,-0.7266363568736812,-0.9118088166732721,-0.7922027956089408,-0.8075915933423949,0.08668290300159419
4,0.003784370422363281,0.0003871647996856328,0.002931833267211914,0.00011289193989993809,100,0,2,scale,poly,"{'C': 100, 'coef0': 0, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",-0.22545203404430403,0.23080300667773757,0.16241921368127898,-0.483605157339956,-2.3245527675483153,-0.5280775477147117,0.935261320042635,15,0.577784483704423,0.6104446182605701,0.47449643974421973,0.6454422172959086,0.482764775031551,0.5581865068073345,0.06844123738371528,-3.217662943482884,-1.4529919495766492,-2.4050847061324223,-1.324953601552306,-3.4131574305073364,-2.3627701262503193,0.8649514681482058,21,-1.6843140940166121,-1.8992152497507664,-2.0762217830349954,-1.8271495999029783,-1.6422500113478518,-1.8258301476106407,0.15608430101457577
5,0.0034913063049316407,0.00013804123599883556,0.003035879135131836,0.00010140719956849236,100,0,2,scale,rbf,"{'C': 100, 'coef0': 0, 'degree': 2, 'gamma': 'scale', 'kernel': 'rbf'}",0.1460613320399079,0.19713720297847515,0.6070175848910794,-0.1703652426246498,-3.243827655615311,-0.49279535566609967,1.3975602455909613,11,0.84641214543884,0.8588989555155232,0.7913542203170458,0.8470964535828879,0.7092860586468697,0.8106095667002332,0.05582509163351653,-2.6859982803119,-1.4844483321997408,-1.6474171477029782,-1.176798783226898,-3.856280128501144,-2.170188534388532,0.9838005187104519,11,-1.0158613212707372,-1.1430222878637102,-1.3082499118497901,-1.1998843116014988,-1.2311987226115473,-1.1796433110394569,0.09774758907425612
6,0.04354152679443359,0.028100337177064505,0.0032923221588134766,0.00022211385006538445,100,0,3,auto,linear,"{'C': 100, 'coef0': 0, 'degree': 3, 'gamma': 'auto', 'kernel': 'linear'}",0.5182383948200304,-0.3125733194130629,0.5847298039608986,-1.507529683788396,-0.9796039992651449,-0.33934776073713496,0.8203252143884839,3,0.9262508167826538,0.9118639078530816,0.9356331251334121,0.9117029115854344,0.8796399698251067,0.9130181462359378,0.018993186195444073,-2.017476492427038,-1.8980436906694858,-1.693489097161021,-1.722521075235549,-2.6337761850939305,-1.993061308117405,0.34148953999045467,2,-0.7039383006673271,-0.9033716968887537,-0.7266363568736812,-0.9118088166732721,-0.7922027956089408,-0.8075915933423949,0.08668290300159419
7,0.017686223983764647,0.005230364805652954,0.003415489196777344,0.0003133288802764851,100,0,3,auto,poly,"{'C': 100, 'coef0': 0, 'degree': 3, 'gamma': 'auto', 'kernel': 'poly'}",-0.3219602234700192,-9.827262334306127,0.6770139310205782,-45.95963288965997,-1.322653185027514,-11.35089894028861,17.702880128795528,24,0.9686422970076455,0.9502505853397634,0.9778085661475937,0.948863993378667,0.9341447397554205,0.955942036325818,0.015472913054103421,-3.341962592121062,-5.45134601228724,-1.4935126963659586,-7.454248204667413,-2.8528693842776573,-4.118787777943866,2.097574013419317,24,-0.459016301344262,-0.6787089437353687,-0.4266567235520344,-0.6938953873340878,-0.5859903468438183,-0.5688535405619143,0.10980118129313408
8,0.0037084579467773437,0.00014625479482106943,0.0032340049743652343,0.0002791449931240985,100,0,3,auto,rbf,"{'C': 100, 'coef0': 0, 'degree': 3, 'gamma': 'auto', 'kernel': 'rbf'}",0.33320179130810135,0.039497008625779206,0.69196114109878,-0.6167794427275843,-3.6767844391555995,-0.6457807881701048,1.5751438175196661,16,0.9586262310719481,0.9378043114932236,0.9642953434407828,0.9379360962056077,0.9113640392244194,0.9420052042871963,0.0186879371366458,-2.373502003610049,-1.6236550960160823,-1.4585448108181314,-1.383142391513938,-4.048213246697379,-2.177411509731116,0.9992626831334941,15,-0.5272523575593633,-0.7588740888396008,-0.5411882288134237,-0.7644518575458642,-0.6798298113456853,-0.6543192688207874,0.1026219444553984
9,0.045032930374145505,0.027520256615595595,0.003131246566772461,5.5025148608229064e-05,100,0,3,scale,linear,"{'C': 100, 'coef0': 0, 'degree': 3, 'gamma': 'scale', 'kernel': 'linear'}",0.5182383948200304,-0.3125733194130629,0.5847298039608986,-1.507529683788396,-0.9796039992651449,-0.33934776073713496,0.8203252143884839,3,0.9262508167826538,0.9118639078530816,0.9356331251334121,0.9117029115854344,0.8796399698251067,0.9130181462359378,0.018993186195444073,-2.017476492427038,-1.8980436906694858,-1.693489097161021,-1.722521075235549,-2.6337761850939305,-1.993061308117405,0.34148953999045467,2,-0.7039383006673271,-0.9033716968887537,-0.7266363568736812,-0.9118088166732721,-0.7922027956089408,-0.8075915933423949,0.08668290300159419
