,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_criterion,param_max_depth,param_max_features,param_n_estimators,param_warm_start,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_train_r2,split1_train_r2,split2_train_r2,split3_train_r2,split4_train_r2,mean_train_r2,std_train_r2,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error,split0_train_neg_root_mean_squared_error,split1_train_neg_root_mean_squared_error,split2_train_neg_root_mean_squared_error,split3_train_neg_root_mean_squared_error,split4_train_neg_root_mean_squared_error,mean_train_neg_root_mean_squared_error,std_train_neg_root_mean_squared_error
0,0.0018018245697021484,0.0005080930636576736,0.0,0.0,True,friedman_mse,3,auto,10,True,"{'bootstrap': True, 'criterion': 'friedman_mse', 'max_depth': 3, 'max_features': 'auto', 'n_estimators': 10, 'warm_start': True}",,,,,,,,321,,,,,,,,,,,,,,,321,,,,,,,
1,0.0015858650207519532,0.00030374596594187245,0.0,0.0,True,friedman_mse,3,auto,10,False,"{'bootstrap': True, 'criterion': 'friedman_mse', 'max_depth': 3, 'max_features': 'auto', 'n_estimators': 10, 'warm_start': False}",,,,,,,,321,,,,,,,,,,,,,,,321,,,,,,,
2,0.0009182929992675781,0.0002875814981811343,0.0,0.0,True,friedman_mse,3,auto,20,True,"{'bootstrap': True, 'criterion': 'friedman_mse', 'max_depth': 3, 'max_features': 'auto', 'n_estimators': 20, 'warm_start': True}",,,,,,,,321,,,,,,,,,,,,,,,321,,,,,,,
3,0.0011942863464355468,0.0004361824319261515,0.0,0.0,True,friedman_mse,3,auto,20,False,"{'bootstrap': True, 'criterion': 'friedman_mse', 'max_depth': 3, 'max_features': 'auto', 'n_estimators': 20, 'warm_start': False}",,,,,,,,321,,,,,,,,,,,,,,,321,,,,,,,
4,0.015083789825439453,0.0028984393003852996,0.004112434387207031,0.00043456185998525405,True,friedman_mse,3,sqrt,10,True,"{'bootstrap': True, 'criterion': 'friedman_mse', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 10, 'warm_start': True}",-0.19897005181892502,0.07395625699375563,0.3654879539204623,-0.05040443408103723,-3.4736381981862703,-0.656713694634403,1.4206321557111303,229,0.807883143553354,0.7420715651220733,0.7295273659067627,0.7905026157403601,0.5828617336749595,0.7305692847995019,0.07939816826587925,-3.182706258256393,-1.5942637448392885,-2.0933264418245328,-1.114858568375312,-3.9593157191231314,-2.3888941464837314,1.04291188334867,257,-1.136157981981676,-1.5453939081021932,-1.48952424679071,-1.404494032150812,-1.4748071777021132,-1.4100754693455009,0.14413557818715125
5,0.012594461441040039,0.0011532343392572934,0.004299545288085937,0.0007819923624960123,True,friedman_mse,3,sqrt,10,False,"{'bootstrap': True, 'criterion': 'friedman_mse', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 10, 'warm_start': False}",-0.19897005181892502,0.07395625699375563,0.3654879539204623,-0.05040443408103723,-3.4736381981862703,-0.656713694634403,1.4206321557111303,229,0.807883143553354,0.7420715651220733,0.7295273659067627,0.7905026157403601,0.5828617336749595,0.7305692847995019,0.07939816826587925,-3.182706258256393,-1.5942637448392885,-2.0933264418245328,-1.114858568375312,-3.9593157191231314,-2.3888941464837314,1.04291188334867,257,-1.136157981981676,-1.5453939081021932,-1.48952424679071,-1.404494032150812,-1.4748071777021132,-1.4100754693455009,0.14413557818715125
6,0.024563121795654296,0.0015554237510734385,0.004735374450683593,0.0006384111921622611,True,friedman_mse,3,sqrt,20,True,"{'bootstrap': True, 'criterion': 'friedman_mse', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 20, 'warm_start': True}",-0.23939336869478622,0.025620338770311113,0.5120483771134485,-0.1537566211065815,-2.80405369972773,-0.5319069947290677,1.165494926760353,197,0.7852594868829743,0.7385665592164885,0.7410371947433042,0.7733161801699213,0.594129451140341,0.7264617744306058,0.06859055154497497,-3.235914026433902,-1.6353417491477877,-1.8357156351299895,-1.1684189877775881,-3.651010018343424,-2.3052800833665383,0.9632060929260362,227,-1.2011935216847403,-1.5558587044228067,-1.4574867233856006,-1.4609685158590322,-1.454752111022195,-1.426051915274875,0.1186946646400568
7,0.024807548522949217,0.0013753692032096162,0.0045969486236572266,0.0005026268309384511,True,friedman_mse,3,sqrt,20,False,"{'bootstrap': True, 'criterion': 'friedman_mse', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 20, 'warm_start': False}",-0.23939336869478622,0.025620338770311113,0.5120483771134485,-0.1537566211065815,-2.80405369972773,-0.5319069947290677,1.165494926760353,197,0.7852594868829743,0.7385665592164885,0.7410371947433042,0.7733161801699213,0.594129451140341,0.7264617744306058,0.06859055154497497,-3.235914026433902,-1.6353417491477877,-1.8357156351299895,-1.1684189877775881,-3.651010018343424,-2.3052800833665383,0.9632060929260362,227,-1.2011935216847403,-1.5558587044228067,-1.4574867233856006,-1.4609685158590322,-1.454752111022195,-1.426051915274875,0.1186946646400568
8,0.012531518936157227,0.0010838458782338302,0.0041730403900146484,0.00046879592320687264,True,friedman_mse,3,log2,10,True,"{'bootstrap': True, 'criterion': 'friedman_mse', 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 10, 'warm_start': True}",-0.8600377370221473,0.1994913500927492,0.3433108847608528,-1.4263328237382784,-5.947751956199513,-1.538264056421267,2.301139769402092,317,0.5940607479064395,0.6534632616010622,0.7062989872673604,0.5923582619250416,0.4024638737186349,0.5897290264837077,0.10270786008160497,-3.9641791058390314,-1.4822703914301605,-2.129594578095856,-1.6944029136146432,-4.934144429190813,-2.840918283634101,1.3645302176122325,315,-1.6515301695965994,-1.7912830906699844,-1.5521676720729227,-1.959160057866124,-1.765132495907774,-1.743854697222681,0.137350886095301
9,0.013427352905273438,0.0011247031264549354,0.003542375564575195,0.0003968531614511603,True,friedman_mse,3,log2,10,False,"{'bootstrap': True, 'criterion': 'friedman_mse', 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 10, 'warm_start': False}",-0.8600377370221473,0.1994913500927492,0.3433108847608528,-1.4263328237382784,-5.947751956199513,-1.538264056421267,2.301139769402092,317,0.5940607479064395,0.6534632616010622,0.7062989872673604,0.5923582619250416,0.4024638737186349,0.5897290264837077,0.10270786008160497,-3.9641791058390314,-1.4822703914301605,-2.129594578095856,-1.6944029136146432,-4.934144429190813,-2.840918283634101,1.3645302176122325,315,-1.6515301695965994,-1.7912830906699844,-1.5521676720729227,-1.959160057866124,-1.765132495907774,-1.743854697222681,0.137350886095301
